upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,-1323277.442018195,-0.024159788853079008
204081.63265306124,0.0,-1527359.0746712564,-0.02788581711981175
408163.2653061225,0.0,-1731440.7073243177,-0.0316118453865445
612244.8979591837,0.0,-1935522.3399773787,-0.03533787365327724
816326.530612245,0.0,-2139603.9726304403,-0.03906390192000998
1020408.1632653062,0.0,-2343685.605283501,-0.04278993018674272
1224489.7959183673,0.0,-2547767.2379365624,-0.04651595845347547
1428571.4285714286,0.0,-2751848.8705896237,-0.050241986720208215
1632653.06122449,0.0,-2955930.503242685,-0.053968014986940954
1836734.693877551,0.0,-3160012.135895746,-0.057694043253673694
2040816.3265306123,0.0,-3364093.768548807,-0.06142007152040644
2244897.959183674,0.0,-3568175.401201869,-0.06514609978713919
2448979.5918367347,0.0,-3772257.0338549297,-0.06887212805387193
2653061.224489796,0.0,-3976338.666507991,-0.07259815632060466
2857142.8571428573,0.0,-4180420.2991610523,-0.07632418458733742
3061224.4897959186,0.0,-4384501.931814114,-0.08005021285407016
3265306.12244898,0.0,-4588583.564467175,-0.08377624112080291
3469387.7551020407,0.0,-4792665.197120236,-0.08750226938753565
3673469.387755102,0.0,-4996746.8297732975,-0.09122829765426839
3877551.020408164,0.0,-5200828.462426359,-0.09495432592100114
4081632.6530612246,0.0,-5404910.09507942,-0.09868035418773388
4285714.285714285,0.0,-5608991.7277324805,-0.10240638245446661
4489795.918367348,0.0,-5813073.360385543,-0.10613241072119937
4693877.551020408,0.0,-6017154.993038603,-0.1098584389879321
4897959.183673469,0.0,-6221236.625691664,-0.11358446725466484
5102040.816326531,0.0,-6425318.258344726,-0.11731049552139759
5306122.448979592,0.0,-6629399.890997787,-0.12103652378813033
5510204.081632653,0.0,-6833481.523650848,-0.12476255205486309
5714285.714285715,0.0,-7037563.15630391,-0.12848858032159582
5918367.346938776,0.0,-7241644.788956971,-0.13221460858832856
6122448.979591837,0.0,-7445726.421610032,-0.1359406368550613
6326530.612244898,0.0,-7649808.0542630935,-0.13966666512179407
6530612.24489796,0.0,-7853889.686916155,-0.1433926933885268
6734693.87755102,0.0,-8057971.319569215,-0.14711872165525952
6938775.510204081,0.0,-8262052.9522222765,-0.15084474992199226
7142857.142857144,0.0,-8466134.584875338,-0.15457077818872503
7346938.775510204,0.0,-8670216.2175284,-0.15829680645545777
7551020.408163265,0.0,-8874297.85018146,-0.1620228347221905
7755102.040816328,0.0,-9078379.482834522,-0.16574886298892325
7959183.673469388,0.0,-9282461.115487583,-0.16947489125565599
8163265.306122449,0.0,-9486542.748140644,-0.17320091952238875
8367346.9387755105,0.0,-9690624.380793706,-0.1769269477891215
8571428.57142857,0.0,-9894706.013446767,-0.18065297605585423
8775510.204081632,0.0,-10098787.646099828,-0.18437900432258697
8979591.836734695,0.0,-10302869.27875289,-0.1881050325893197
9183673.469387757,0.0,-10506950.91140595,-0.19183106085605248
9387755.102040816,0.0,-10711032.544059012,-0.19555708912278522
9591836.734693877,0.0,-10915114.176712073,-0.19928311738951796
9795918.367346939,0.0,-11119195.809365135,-0.2030091456562507
10000000.0,0.0,-11323277.442018196,-0.20673517392298343
0.0,204081.63265306124,-1527359.0746712564,-0.02788581711981175
204081.63265306124,204081.63265306124,-1731440.7073243177,-0.0316118453865445
408163.2653061225,204081.63265306124,-1935522.3399773787,-0.03533787365327724
612244.8979591837,204081.63265306124,-2139603.9726304403,-0.03906390192000998
816326.530612245,204081.63265306124,-2343685.6052835016,-0.04278993018674273
1020408.1632653062,204081.63265306124,-2547767.2379365624,-0.04651595845347547
1224489.7959183673,204081.63265306124,-2751848.8705896237,-0.050241986720208215
1428571.4285714286,204081.63265306124,-2955930.503242685,-0.053968014986940954
1632653.06122449,204081.63265306124,-3160012.1358957463,-0.0576940432536737
1836734.693877551,204081.63265306124,-3364093.768548807,-0.06142007152040644
2040816.3265306123,204081.63265306124,-3568175.4012018684,-0.06514609978713919
2244897.959183674,204081.63265306124,-3772257.03385493,-0.06887212805387194
2448979.5918367347,204081.63265306124,-3976338.666507991,-0.07259815632060466
2653061.224489796,204081.63265306124,-4180420.2991610523,-0.07632418458733742
2857142.8571428573,204081.63265306124,-4384501.931814114,-0.08005021285407016
3061224.4897959186,204081.63265306124,-4588583.564467175,-0.08377624112080291
3265306.12244898,204081.63265306124,-4792665.197120236,-0.08750226938753565
3469387.7551020407,204081.63265306124,-4996746.8297732975,-0.09122829765426839
3673469.387755102,204081.63265306124,-5200828.462426359,-0.09495432592100114
3877551.020408164,204081.63265306124,-5404910.09507942,-0.09868035418773388
4081632.6530612246,204081.63265306124,-5608991.7277324805,-0.10240638245446661
4285714.285714285,204081.63265306124,-5813073.360385542,-0.10613241072119936
4489795.918367348,204081.63265306124,-6017154.993038604,-0.10985843898793211
4693877.551020408,204081.63265306124,-6221236.625691664,-0.11358446725466484
4897959.183673469,204081.63265306124,-6425318.258344726,-0.11731049552139759
5102040.816326531,204081.63265306124,-6629399.890997787,-0.12103652378813033
5306122.448979592,204081.63265306124,-6833481.523650848,-0.12476255205486309
5510204.081632653,204081.63265306124,-7037563.15630391,-0.12848858032159582
5714285.714285715,204081.63265306124,-7241644.788956971,-0.13221460858832856
5918367.346938776,204081.63265306124,-7445726.421610032,-0.1359406368550613
6122448.979591837,204081.63265306124,-7649808.0542630935,-0.13966666512179407
6326530.612244898,204081.63265306124,-7853889.686916155,-0.1433926933885268
6530612.24489796,204081.63265306124,-8057971.319569216,-0.14711872165525955
6734693.87755102,204081.63265306124,-8262052.9522222765,-0.15084474992199226
6938775.510204081,204081.63265306124,-8466134.584875338,-0.15457077818872503
7142857.142857144,204081.63265306124,-8670216.2175284,-0.15829680645545777
7346938.775510204,204081.63265306124,-8874297.85018146,-0.1620228347221905
7551020.408163265,204081.63265306124,-9078379.482834522,-0.16574886298892325
7755102.040816328,204081.63265306124,-9282461.115487583,-0.16947489125565599
7959183.673469388,204081.63265306124,-9486542.748140644,-0.17320091952238875
8163265.306122449,204081.63265306124,-9690624.380793706,-0.1769269477891215
8367346.9387755105,204081.63265306124,-9894706.013446767,-0.18065297605585423
8571428.57142857,204081.63265306124,-10098787.646099828,-0.18437900432258697
8775510.204081632,204081.63265306124,-10302869.27875289,-0.1881050325893197
8979591.836734695,204081.63265306124,-10506950.91140595,-0.19183106085605248
9183673.469387757,204081.63265306124,-10711032.544059012,-0.19555708912278522
9387755.102040816,204081.63265306124,-10915114.176712073,-0.19928311738951796
9591836.734693877,204081.63265306124,-11119195.809365135,-0.2030091456562507
9795918.367346939,204081.63265306124,-11323277.442018196,-0.20673517392298343
