upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,-257.5472021616572,-62.22382697175588
204081.63265306124,0.0,-204339.1798552229,-49368.68140730603
408163.2653061225,0.0,-408420.8125082841,-98675.1389876403
612244.8979591837,0.0,-612502.4451613453,-147981.59656797457
816326.530612245,0.0,-816584.0778144066,-197288.05414830885
1020408.1632653062,0.0,-1020665.7104674678,-246594.51172864312
1224489.7959183673,0.0,-1224747.343120529,-295900.9693089774
1428571.4285714286,0.0,-1428828.9757735904,-345207.4268893117
1632653.06122449,0.0,-1632910.6084266517,-394513.884469646
1836734.693877551,0.0,-1836992.2410797128,-443820.34204998025
2040816.3265306123,0.0,-2041073.873732774,-493126.7996303145
2244897.959183674,0.0,-2245155.5063858354,-542433.2572106489
2448979.5918367347,0.0,-2449237.139038896,-591739.714790983
2653061.224489796,0.0,-2653318.7716919575,-641046.1723713173
2857142.8571428573,0.0,-2857400.404345019,-690352.6299516516
3061224.4897959186,0.0,-3061482.03699808,-739659.0875319858
3265306.12244898,0.0,-3265563.6696511414,-788965.5451123201
3469387.7551020407,0.0,-3469645.302304202,-838272.0026926544
3673469.387755102,0.0,-3673726.9349572635,-887578.4602729887
3877551.020408164,0.0,-3877808.5676103253,-936884.917853323
4081632.6530612246,0.0,-4081890.200263386,-986191.3754336572
4285714.285714285,0.0,-4285971.832916447,-1035497.8330139914
4489795.918367348,0.0,-4490053.465569509,-1084804.2905943259
4693877.551020408,0.0,-4694135.09822257,-1134110.74817466
4897959.183673469,0.0,-4898216.730875631,-1183417.2057549942
5102040.816326531,0.0,-5102298.363528692,-1232723.6633353285
5306122.448979592,0.0,-5306379.996181753,-1282030.1209156627
5510204.081632653,0.0,-5510461.628834815,-1331336.578495997
5714285.714285715,0.0,-5714543.261487876,-1380643.0360763315
5918367.346938776,0.0,-5918624.894140937,-1429949.4936566658
6122448.979591837,0.0,-6122706.526793999,-1479255.951237
6326530.612244898,0.0,-6326788.15944706,-1528562.4088173343
6530612.24489796,0.0,-6530869.792100121,-1577868.8663976686
6734693.87755102,0.0,-6734951.424753182,-1627175.3239780026
6938775.510204081,0.0,-6939033.057406243,-1676481.781558337
7142857.142857144,0.0,-7143114.690059305,-1725788.2391386714
7346938.775510204,0.0,-7347196.322712366,-1775094.6967190055
7551020.408163265,0.0,-7551277.955365427,-1824401.1542993397
7755102.040816328,0.0,-7755359.588018489,-1873707.6118796743
7959183.673469388,0.0,-7959441.220671549,-1923014.0694600083
8163265.306122449,0.0,-8163522.853324611,-1972320.5270403426
8367346.9387755105,0.0,-8367604.485977672,-2021626.984620677
8571428.57142857,0.0,-8571686.118630733,-2070933.4422010113
8775510.204081632,0.0,-8775767.751283795,-2120239.8997813454
8979591.836734695,0.0,-8979849.383936858,-2169546.3573616804
9183673.469387757,0.0,-9183931.01658992,-2218852.8149420144
9387755.102040816,0.0,-9388012.649242979,-2268159.2725223484
9591836.734693877,0.0,-9592094.28189604,-2317465.7301026825
9795918.367346939,0.0,-9796175.914549101,-2366772.187683017
10000000.0,0.0,-10000257.547202162,-2416078.6452633515
0.0,204081.63265306124,-204339.1798552229,-49368.68140730603
204081.63265306124,204081.63265306124,-408420.8125082841,-98675.1389876403
408163.2653061225,204081.63265306124,-612502.4451613453,-147981.59656797457
612244.8979591837,204081.63265306124,-816584.0778144066,-197288.05414830885
816326.530612245,204081.63265306124,-1020665.7104674679,-246594.51172864315
1020408.1632653062,204081.63265306124,-1224747.343120529,-295900.9693089774
1224489.7959183673,204081.63265306124,-1428828.9757735904,-345207.4268893117
1428571.4285714286,204081.63265306124,-1632910.6084266517,-394513.884469646
1632653.06122449,204081.63265306124,-1836992.241079713,-443820.3420499803
1836734.693877551,204081.63265306124,-2041073.873732774,-493126.7996303145
2040816.3265306123,204081.63265306124,-2245155.506385835,-542433.2572106487
2244897.959183674,204081.63265306124,-2449237.1390388967,-591739.7147909831
2448979.5918367347,204081.63265306124,-2653318.7716919575,-641046.1723713173
2653061.224489796,204081.63265306124,-2857400.404345019,-690352.6299516516
2857142.8571428573,204081.63265306124,-3061482.03699808,-739659.0875319858
3061224.4897959186,204081.63265306124,-3265563.6696511414,-788965.5451123201
3265306.12244898,204081.63265306124,-3469645.3023042027,-838272.0026926544
3469387.7551020407,204081.63265306124,-3673726.9349572635,-887578.4602729887
3673469.387755102,204081.63265306124,-3877808.567610325,-936884.9178533229
3877551.020408164,204081.63265306124,-4081890.2002633866,-986191.3754336573
4081632.6530612246,204081.63265306124,-4285971.832916447,-1035497.8330139914
4285714.285714285,204081.63265306124,-4490053.465569508,-1084804.2905943256
4489795.918367348,204081.63265306124,-4694135.0982225705,-1134110.7481746601
4693877.551020408,204081.63265306124,-4898216.730875631,-1183417.2057549942
4897959.183673469,204081.63265306124,-5102298.363528692,-1232723.6633353285
5102040.816326531,204081.63265306124,-5306379.996181753,-1282030.1209156627
5306122.448979592,204081.63265306124,-5510461.628834815,-1331336.578495997
5510204.081632653,204081.63265306124,-5714543.261487876,-1380643.0360763315
5714285.714285715,204081.63265306124,-5918624.894140937,-1429949.4936566658
5918367.346938776,204081.63265306124,-6122706.526793999,-1479255.951237
6122448.979591837,204081.63265306124,-6326788.15944706,-1528562.4088173343
6326530.612244898,204081.63265306124,-6530869.792100121,-1577868.8663976686
6530612.24489796,204081.63265306124,-6734951.424753183,-1627175.3239780029
6734693.87755102,204081.63265306124,-6939033.057406243,-1676481.781558337
6938775.510204081,204081.63265306124,-7143114.690059304,-1725788.2391386712
7142857.142857144,204081.63265306124,-7347196.3227123665,-1775094.6967190057
7346938.775510204,204081.63265306124,-7551277.955365427,-1824401.1542993397
7551020.408163265,204081.63265306124,-7755359.588018488,-1873707.611879674
7755102.040816328,204081.63265306124,-7959441.22067155,-1923014.0694600085
7959183.673469388,204081.63265306124,-8163522.853324611,-1972320.5270403426
8163265.306122449,204081.63265306124,-8367604.485977672,-2021626.984620677
8367346.9387755105,204081.63265306124,-8571686.118630733,-2070933.4422010113
8571428.57142857,204081.63265306124,-8775767.751283795,-2120239.8997813454
8775510.204081632,204081.63265306124,-8979849.383936856,-2169546.35736168
8979591.836734695,204081.63265306124,-9183931.01658992,-2218852.8149420144
9183673.469387757,204081.63265306124,-9388012.64924298,-2268159.272522349
9387755.102040816,204081.63265306124,-9592094.28189604,-2317465.7301026825
9591836.734693877,204081.63265306124,-9796175.914549101,-2366772.187683017
9795918.367346939,204081.63265306124,-10000257.547202162,-2416078.6452633515
10000000.0,204081.63265306124,-10204339.179855224,-2465385.1028436855
0.0,408163.2653061225,-408420.8125082841,-98675.1389876403
204081.63265306124,408163.2653061225,-612502.4451613453,-147981.59656797457
408163.2653061225,408163.2653061225,-816584.0778144066,-197288.05414830885
612244.8979591837,408163.2653061225,-1020665.7104674678,-246594.51172864312
816326.530612245,408163.2653061225,-1224747.343120529,-295900.9693089774
1020408.1632653062,408163.2653061225,-1428828.9757735904,-345207.4268893117
1224489.7959183673,408163.2653061225,-1632910.6084266517,-394513.884469646
1428571.4285714286,408163.2653061225,-1836992.241079713,-443820.3420499803
1632653.06122449,408163.2653061225,-2041073.8737327743,-493126.7996303146
1836734.693877551,408163.2653061225,-2245155.506385835,-542433.2572106487
2040816.3265306123,408163.2653061225,-2449237.139038896,-591739.714790983
2244897.959183674,408163.2653061225,-2653318.771691958,-641046.1723713174
2448979.5918367347,408163.2653061225,-2857400.404345019,-690352.6299516516
2653061.224489796,408163.2653061225,-3061482.03699808,-739659.0875319858
2857142.8571428573,408163.2653061225,-3265563.6696511414,-788965.5451123201
3061224.4897959186,408163.2653061225,-3469645.3023042027,-838272.0026926544
3265306.12244898,408163.2653061225,-3673726.934957264,-887578.4602729888
3469387.7551020407,408163.2653061225,-3877808.567610325,-936884.9178533229
3673469.387755102,408163.2653061225,-4081890.200263386,-986191.3754336572
3877551.020408164,408163.2653061225,-4285971.832916448,-1035497.8330139916
4081632.6530612246,408163.2653061225,-4490053.465569508,-1084804.2905943256
4285714.285714285,408163.2653061225,-4694135.09822257,-1134110.74817466
4489795.918367348,408163.2653061225,-4898216.730875632,-1183417.2057549944
4693877.551020408,408163.2653061225,-5102298.363528692,-1232723.6633353285
4897959.183673469,408163.2653061225,-5306379.996181753,-1282030.1209156627
5102040.816326531,408163.2653061225,-5510461.628834815,-1331336.578495997
5306122.448979592,408163.2653061225,-5714543.261487876,-1380643.0360763315
5510204.081632653,408163.2653061225,-5918624.894140937,-1429949.4936566658
5714285.714285715,408163.2653061225,-6122706.526793999,-1479255.951237
5918367.346938776,408163.2653061225,-6326788.15944706,-1528562.4088173343
6122448.979591837,408163.2653061225,-6530869.792100121,-1577868.8663976686
6326530.612244898,408163.2653061225,-6734951.424753183,-1627175.3239780029
6530612.24489796,408163.2653061225,-6939033.057406244,-1676481.7815583372
6734693.87755102,408163.2653061225,-7143114.690059304,-1725788.2391386712
6938775.510204081,408163.2653061225,-7347196.322712366,-1775094.6967190055
7142857.142857144,408163.2653061225,-7551277.955365428,-1824401.15429934
7346938.775510204,408163.2653061225,-7755359.588018488,-1873707.611879674
7551020.408163265,408163.2653061225,-7959441.220671549,-1923014.0694600083
7755102.040816328,408163.2653061225,-8163522.853324612,-1972320.5270403428
7959183.673469388,408163.2653061225,-8367604.485977672,-2021626.984620677
8163265.306122449,408163.2653061225,-8571686.118630733,-2070933.4422010113
8367346.9387755105,408163.2653061225,-8775767.751283795,-2120239.8997813454
8571428.57142857,408163.2653061225,-8979849.383936856,-2169546.35736168
8775510.204081632,408163.2653061225,-9183931.016589917,-2218852.814942014
8979591.836734695,408163.2653061225,-9388012.64924298,-2268159.272522349
9183673.469387757,408163.2653061225,-9592094.281896042,-2317465.730102683
9387755.102040816,408163.2653061225,-9796175.914549101,-2366772.187683017
9591836.734693877,408163.2653061225,-10000257.547202162,-2416078.6452633515
9795918.367346939,408163.2653061225,-10204339.179855224,-2465385.1028436855
10000000.0,408163.2653061225,-10408420.812508285,-2514691.56042402
0.0,612244.8979591837,-612502.4451613453,-147981.59656797457
204081.63265306124,612244.8979591837,-816584.0778144066,-197288.05414830885
408163.2653061225,612244.8979591837,-1020665.7104674678,-246594.51172864312
612244.8979591837,612244.8979591837,-1224747.343120529,-295900.9693089774
816326.530612245,612244.8979591837,-1428828.9757735904,-345207.4268893117
1020408.1632653062,612244.8979591837,-1632910.6084266517,-394513.884469646
1224489.7959183673,612244.8979591837,-1836992.2410797128,-443820.34204998025
1428571.4285714286,612244.8979591837,-2041073.873732774,-493126.7996303145
1632653.06122449,612244.8979591837,-2245155.506385835,-542433.2572106487
1836734.693877551,612244.8979591837,-2449237.139038896,-591739.714790983
2040816.3265306123,612244.8979591837,-2653318.7716919575,-641046.1723713173
2244897.959183674,612244.8979591837,-2857400.404345019,-690352.6299516516
2448979.5918367347,612244.8979591837,-3061482.03699808,-739659.0875319858
2653061.224489796,612244.8979591837,-3265563.6696511414,-788965.5451123201
2857142.8571428573,612244.8979591837,-3469645.3023042027,-838272.0026926544
3061224.4897959186,612244.8979591837,-3673726.934957264,-887578.4602729888
3265306.12244898,612244.8979591837,-3877808.5676103253,-936884.917853323
3469387.7551020407,612244.8979591837,-4081890.2002633857,-986191.3754336571
3673469.387755102,612244.8979591837,-4285971.832916447,-1035497.8330139914
3877551.020408164,612244.8979591837,-4490053.465569509,-1084804.2905943259
4081632.6530612246,612244.8979591837,-4694135.09822257,-1134110.74817466
4285714.285714285,612244.8979591837,-4898216.730875631,-1183417.2057549942
4489795.918367348,612244.8979591837,-5102298.363528693,-1232723.6633353287
4693877.551020408,612244.8979591837,-5306379.996181753,-1282030.1209156627
4897959.183673469,612244.8979591837,-5510461.628834815,-1331336.578495997
5102040.816326531,612244.8979591837,-5714543.261487876,-1380643.0360763315
5306122.448979592,612244.8979591837,-5918624.894140937,-1429949.4936566658
5510204.081632653,612244.8979591837,-6122706.526793999,-1479255.951237
5714285.714285715,612244.8979591837,-6326788.15944706,-1528562.4088173343
5918367.346938776,612244.8979591837,-6530869.792100121,-1577868.8663976686
6122448.979591837,612244.8979591837,-6734951.424753183,-1627175.3239780029
6326530.612244898,612244.8979591837,-6939033.057406244,-1676481.7815583372
6530612.24489796,612244.8979591837,-7143114.690059305,-1725788.2391386714
6734693.87755102,612244.8979591837,-7347196.322712366,-1775094.6967190055
6938775.510204081,612244.8979591837,-7551277.955365427,-1824401.1542993397
7142857.142857144,612244.8979591837,-7755359.588018489,-1873707.6118796743
7346938.775510204,612244.8979591837,-7959441.220671549,-1923014.0694600083
7551020.408163265,612244.8979591837,-8163522.853324611,-1972320.5270403426
7755102.040816328,612244.8979591837,-8367604.485977673,-2021626.984620677
7959183.673469388,612244.8979591837,-8571686.118630733,-2070933.4422010113
8163265.306122449,612244.8979591837,-8775767.751283795,-2120239.8997813454
8367346.9387755105,612244.8979591837,-8979849.383936856,-2169546.35736168
8571428.57142857,612244.8979591837,-9183931.016589917,-2218852.814942014
8775510.204081632,612244.8979591837,-9388012.649242979,-2268159.2725223484
8979591.836734695,612244.8979591837,-9592094.281896042,-2317465.730102683
9183673.469387757,612244.8979591837,-9796175.914549103,-2366772.1876830175
9387755.102040816,612244.8979591837,-10000257.547202162,-2416078.6452633515
9591836.734693877,612244.8979591837,-10204339.179855224,-2465385.1028436855
9795918.367346939,612244.8979591837,-10408420.812508285,-2514691.56042402
10000000.0,612244.8979591837,-10612502.445161346,-2563998.018004354
0.0,816326.530612245,-816584.0778144066,-197288.05414830885
204081.63265306124,816326.530612245,-1020665.7104674679,-246594.51172864315
408163.2653061225,816326.530612245,-1224747.343120529,-295900.9693089774
612244.8979591837,816326.530612245,-1428828.9757735904,-345207.4268893117
816326.530612245,816326.530612245,-1632910.6084266517,-394513.884469646
1020408.1632653062,816326.530612245,-1836992.241079713,-443820.3420499803
1224489.7959183673,816326.530612245,-2041073.873732774,-493126.7996303145
1428571.4285714286,816326.530612245,-2245155.506385835,-542433.2572106487
1632653.06122449,816326.530612245,-2449237.139038896,-591739.714790983
1836734.693877551,816326.530612245,-2653318.7716919575,-641046.1723713173
2040816.3265306123,816326.530612245,-2857400.404345019,-690352.6299516516
2244897.959183674,816326.530612245,-3061482.03699808,-739659.0875319858
2448979.5918367347,816326.530612245,-3265563.6696511414,-788965.5451123201
2653061.224489796,816326.530612245,-3469645.3023042027,-838272.0026926544
2857142.8571428573,816326.530612245,-3673726.934957264,-887578.4602729888
3061224.4897959186,816326.530612245,-3877808.5676103253,-936884.917853323
3265306.12244898,816326.530612245,-4081890.2002633866,-986191.3754336573
