upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,9004.055785543072,0.006357144361756296
204081.63265306124,0.0,-195077.57686751816,-0.13773085678562638
408163.2653061225,0.0,-399159.20952057943,-0.2818188579330091
612244.8979591837,0.0,-603240.8421736406,-0.4259068590803917
816326.530612245,0.0,-807322.4748267019,-0.5699948602277745
1020408.1632653062,0.0,-1011404.1074797631,-0.7140828613751571
1224489.7959183673,0.0,-1215485.7401328243,-0.8581708625225397
1428571.4285714286,0.0,-1419567.3727858856,-1.0022588636699226
1632653.06122449,0.0,-1623649.005438947,-1.1463468648173052
1836734.693877551,0.0,-1827730.638092008,-1.2904348659646878
2040816.3265306123,0.0,-2031812.2707450693,-1.4345228671120704
2244897.959183674,0.0,-2235893.9033981306,-1.5786108682594533
2448979.5918367347,0.0,-2439975.5360511914,-1.7226988694068357
2653061.224489796,0.0,-2644057.1687042527,-1.8667868705542183
2857142.8571428573,0.0,-2848138.801357314,-2.010874871701601
3061224.4897959186,0.0,-3052220.4340103753,-2.154962872848984
3265306.12244898,0.0,-3256302.0666634366,-2.2990508739963667
3469387.7551020407,0.0,-3460383.6993164974,-2.443138875143749
3673469.387755102,0.0,-3664465.3319695587,-2.5872268762911315
3877551.020408164,0.0,-3868546.9646226205,-2.7313148774385145
4081632.6530612246,0.0,-4072628.5972756813,-2.875402878585897
4285714.285714285,0.0,-4276710.229928742,-3.0194908797332793
4489795.918367348,0.0,-4480791.862581804,-3.163578880880663
4693877.551020408,0.0,-4684873.495234865,-3.307666882028045
4897959.183673469,0.0,-4888955.127887926,-3.4517548831754277
5102040.816326531,0.0,-5093036.760540987,-3.5958428843228103
5306122.448979592,0.0,-5297118.393194049,-3.7399308854701934
5510204.081632653,0.0,-5501200.02584711,-3.884018886617576
5714285.714285715,0.0,-5705281.658500171,-4.028106887764959
5918367.346938776,0.0,-5909363.291153233,-4.172194888912341
6122448.979591837,0.0,-6113444.923806294,-4.316282890059724
6326530.612244898,0.0,-6317526.556459355,-4.4603708912071065
6530612.24489796,0.0,-6521608.1891124165,-4.604458892354489
6734693.87755102,0.0,-6725689.821765477,-4.748546893501872
6938775.510204081,0.0,-6929771.454418538,-4.892634894649254
7142857.142857144,0.0,-7133853.0870716,-5.036722895796638
