upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,14098.168407682995,0.00027230388351013327
505050.5050505051,0.0,-490952.33664282213,-0.00948266640178305
1010101.0101010102,0.0,-996002.8416933272,-0.01923763668707623
1515151.5151515151,0.0,-1501053.346743832,-0.02899260697236941
2020202.0202020204,0.0,-2006103.8517943374,-0.0387475772576626
2525252.5252525257,0.0,-2511154.356844843,-0.048502547542955785
3030303.0303030303,0.0,-3016204.8618953475,-0.05825751782824896
3535353.5353535353,0.0,-3521255.3669458525,-0.06801248811354214
4040404.040404041,0.0,-4026305.871996358,-0.07776745839883534
4545454.545454546,0.0,-4531356.377046863,-0.0875224286841285
5050505.050505051,0.0,-5036406.882097368,-0.0972773989694217
5555555.555555556,0.0,-5541457.387147873,-0.10703236925471486
6060606.060606061,0.0,-6046507.892198377,-0.11678733954000804
6565656.565656566,0.0,-6551558.397248883,-0.12654230982530124
7070707.070707071,0.0,-7056608.902299387,-0.1362972801105944
7575757.575757576,0.0,-7561659.407349893,-0.1460522503958876
8080808.080808082,0.0,-8066709.912400398,-0.15580722068118077
8585858.585858587,0.0,-8571760.417450905,-0.16556219096647398
9090909.090909092,0.0,-9076810.92250141,-0.17531716125176716
9595959.595959596,0.0,-9581861.427551914,-0.18507213153706034
10101010.101010103,0.0,-10086911.93260242,-0.19482710182235355
10606060.606060607,0.0,-10591962.437652925,-0.20458207210764673
11111111.111111112,0.0,-11097012.94270343,-0.21433704239293988
11616161.616161618,0.0,-11602063.447753936,-0.2240920126782331
12121212.121212121,0.0,-12107113.952804439,-0.23384698296352624
12626262.626262626,0.0,-12612164.457854943,-0.2436019532488194
13131313.131313132,0.0,-13117214.96290545,-0.2533569235341126
13636363.636363637,0.0,-13622265.467955954,-0.2631118938194058
14141414.141414141,0.0,-14127315.973006459,-0.27286686410469896
14646464.646464648,0.0,-14632366.478056965,-0.28262183438999217
15151515.151515152,0.0,-15137416.98310747,-0.2923768046752853
15656565.656565657,0.0,-15642467.488157975,-0.3021317749605785
16161616.161616163,0.0,-16147517.993208481,-0.31188674524587173
16666666.666666668,0.0,-16652568.498258986,-0.3216417155311649
17171717.171717174,0.0,-17157619.003309492,-0.3313966858164581
17676767.676767677,0.0,-17662669.508359995,-0.34115165610175124
18181818.181818184,0.0,-18167720.0134105,-0.35090662638704445
18686868.68686869,0.0,-18672770.518461008,-0.36066159667233766
19191919.191919193,0.0,-19177821.02351151,-0.3704165669576308
19696969.6969697,0.0,-19682871.528562017,-0.380171537242924
20202020.202020206,0.0,-20187922.033612523,-0.3899265075282172
20707070.70707071,0.0,-20692972.538663026,-0.3996814778135103
21212121.212121215,0.0,-21198023.043713532,-0.40943644809880353
21717171.71717172,0.0,-21703073.54876404,-0.41919141838409674
22222222.222222224,0.0,-22208124.05381454,-0.4289463886693899
22727272.72727273,0.0,-22713174.558865048,-0.4387013589546831
23232323.232323237,0.0,-23218225.063915554,-0.4484563292399763
23737373.73737374,0.0,-23723275.568966057,-0.45821129952526946
24242424.242424242,0.0,-24228326.07401656,-0.4679662698105626
24747474.74747475,0.0,-24733376.579067066,-0.4777212400958558
25252525.25252525,0.0,-25238427.08411757,-0.4874762103811489
25757575.757575758,0.0,-25743477.589168075,-0.4972311806664421
