upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,-815235.8556796451,-0.012782040781492879
204081.63265306124,0.0,-1019317.4883327063,-0.015981826135818784
408163.2653061225,0.0,-1223399.1209857676,-0.019181611490144693
612244.8979591837,0.0,-1427480.7536388286,-0.0223813968444706
816326.530612245,0.0,-1631562.38629189,-0.025581182198796504
1020408.1632653062,0.0,-1835644.0189449512,-0.028780967553122414
1224489.7959183673,0.0,-2039725.6515980125,-0.031980752907448326
1428571.4285714286,0.0,-2243807.284251074,-0.03518053826177423
1632653.06122449,0.0,-2447888.916904135,-0.03838032361610014
1836734.693877551,0.0,-2651970.549557196,-0.04158010897042604
2040816.3265306123,0.0,-2856052.1822102573,-0.04477989432475195
2244897.959183674,0.0,-3060133.814863319,-0.04797967967907787
2448979.5918367347,0.0,-3264215.44751638,-0.051179465033403766
2653061.224489796,0.0,-3468297.080169441,-0.05437925038772967
2857142.8571428573,0.0,-3672378.7128225025,-0.057579035742055584
3061224.4897959186,0.0,-3876460.345475564,-0.06077882109638149
3265306.12244898,0.0,-4080541.978128625,-0.0639786064507074
3469387.7551020407,0.0,-4284623.610781685,-0.0671783918050333
3673469.387755102,0.0,-4488705.243434747,-0.0703781771593592
3877551.020408164,0.0,-4692786.876087809,-0.07357796251368512
4081632.6530612246,0.0,-4896868.508740869,-0.07677774786801102
4285714.285714285,0.0,-5100950.141393931,-0.07997753322233693
4489795.918367348,0.0,-5305031.774046993,-0.08317731857666284
4693877.551020408,0.0,-5509113.406700053,-0.08637710393098874
4897959.183673469,0.0,-5713195.039353115,-0.08957688928531465
5102040.816326531,0.0,-5917276.672006176,-0.09277667463964055
5306122.448979592,0.0,-6121358.304659237,-0.09597645999396646
5510204.081632653,0.0,-6325439.937312298,-0.09917624534829238
5714285.714285715,0.0,-6529521.56996536,-0.10237603070261829
5918367.346938776,0.0,-6733603.202618421,-0.10557581605694419
6122448.979591837,0.0,-6937684.835271482,-0.1087756014112701
6326530.612244898,0.0,-7141766.467924544,-0.11197538676559601
6530612.24489796,0.0,-7345848.100577605,-0.11517517211992191
6734693.87755102,0.0,-7549929.733230665,-0.11837495747424781
6938775.510204081,0.0,-7754011.365883727,-0.12157474282857372
7142857.142857144,0.0,-7958092.998536789,-0.12477452818289964
7346938.775510204,0.0,-8162174.631189849,-0.12797431353722555
7551020.408163265,0.0,-8366256.2638429105,-0.13117409889155143
7755102.040816328,0.0,-8570337.896495972,-0.13437388424587735
7959183.673469388,0.0,-8774419.529149033,-0.13757366960020326
8163265.306122449,0.0,-8978501.161802094,-0.14077345495452917
8367346.9387755105,0.0,-9182582.794455156,-0.14397324030885508
8571428.57142857,0.0,-9386664.427108215,-0.14717302566318097
8775510.204081632,0.0,-9590746.059761276,-0.15037281101750685
8979591.836734695,0.0,-9794827.69241434,-0.1535725963718328
9183673.469387757,0.0,-9998909.325067401,-0.1567723817261587
9387755.102040816,0.0,-10202990.95772046,-0.1599721670804846
9591836.734693877,0.0,-10407072.590373522,-0.1631719524348105
9795918.367346939,0.0,-10611154.223026583,-0.16637173778913641
10000000.0,0.0,-10815235.855679644,-0.16957152314346233
0.0,204081.63265306124,-1019317.4883327063,-0.015981826135818784
204081.63265306124,204081.63265306124,-1223399.1209857676,-0.019181611490144693
408163.2653061225,204081.63265306124,-1427480.7536388286,-0.0223813968444706
612244.8979591837,204081.63265306124,-1631562.38629189,-0.025581182198796504
816326.530612245,204081.63265306124,-1835644.0189449512,-0.028780967553122414
1020408.1632653062,204081.63265306124,-2039725.6515980125,-0.031980752907448326
1224489.7959183673,204081.63265306124,-2243807.284251074,-0.03518053826177423
1428571.4285714286,204081.63265306124,-2447888.916904135,-0.03838032361610014
1632653.06122449,204081.63265306124,-2651970.5495571964,-0.04158010897042605
1836734.693877551,204081.63265306124,-2856052.1822102573,-0.04477989432475195
2040816.3265306123,204081.63265306124,-3060133.8148633186,-0.047979679679077854
2244897.959183674,204081.63265306124,-3264215.4475163803,-0.05117946503340377
2448979.5918367347,204081.63265306124,-3468297.080169441,-0.05437925038772967
2653061.224489796,204081.63265306124,-3672378.7128225025,-0.057579035742055584
2857142.8571428573,204081.63265306124,-3876460.345475564,-0.06077882109638149
3061224.4897959186,204081.63265306124,-4080541.978128625,-0.0639786064507074
3265306.12244898,204081.63265306124,-4284623.610781686,-0.06717839180503331
3469387.7551020407,204081.63265306124,-4488705.243434747,-0.0703781771593592
3673469.387755102,204081.63265306124,-4692786.876087808,-0.0735779625136851
3877551.020408164,204081.63265306124,-4896868.50874087,-0.07677774786801103
4081632.6530612246,204081.63265306124,-5100950.141393931,-0.07997753322233693
4285714.285714285,204081.63265306124,-5305031.774046992,-0.08317731857666283
4489795.918367348,204081.63265306124,-5509113.406700054,-0.08637710393098876
4693877.551020408,204081.63265306124,-5713195.039353115,-0.08957688928531465
4897959.183673469,204081.63265306124,-5917276.672006176,-0.09277667463964055
5102040.816326531,204081.63265306124,-6121358.304659237,-0.09597645999396646
5306122.448979592,204081.63265306124,-6325439.937312298,-0.09917624534829238
5510204.081632653,204081.63265306124,-6529521.56996536,-0.10237603070261829
5714285.714285715,204081.63265306124,-6733603.202618421,-0.10557581605694419
5918367.346938776,204081.63265306124,-6937684.835271482,-0.1087756014112701
6122448.979591837,204081.63265306124,-7141766.467924544,-0.11197538676559601
6326530.612244898,204081.63265306124,-7345848.100577605,-0.11517517211992191
6530612.24489796,204081.63265306124,-7549929.733230666,-0.11837495747424782
6734693.87755102,204081.63265306124,-7754011.365883727,-0.12157474282857372
6938775.510204081,204081.63265306124,-7958092.998536788,-0.12477452818289962
7142857.142857144,204081.63265306124,-8162174.63118985,-0.12797431353722555
7346938.775510204,204081.63265306124,-8366256.2638429105,-0.13117409889155143
7551020.408163265,204081.63265306124,-8570337.896495972,-0.13437388424587735
7755102.040816328,204081.63265306124,-8774419.529149033,-0.13757366960020326
7959183.673469388,204081.63265306124,-8978501.161802094,-0.14077345495452917
8163265.306122449,204081.63265306124,-9182582.794455156,-0.14397324030885508
8367346.9387755105,204081.63265306124,-9386664.427108215,-0.14717302566318097
8571428.57142857,204081.63265306124,-9590746.059761276,-0.15037281101750685
8775510.204081632,204081.63265306124,-9794827.692414338,-0.15357259637183276
8979591.836734695,204081.63265306124,-9998909.325067401,-0.1567723817261587
9183673.469387757,204081.63265306124,-10202990.957720462,-0.15997216708048462
9387755.102040816,204081.63265306124,-10407072.590373522,-0.1631719524348105
9591836.734693877,204081.63265306124,-10611154.223026583,-0.16637173778913641
9795918.367346939,204081.63265306124,-10815235.855679644,-0.16957152314346233
10000000.0,204081.63265306124,-11019317.488332706,-0.1727713084977882
0.0,408163.2653061225,-1223399.1209857676,-0.019181611490144693
204081.63265306124,408163.2653061225,-1427480.7536388286,-0.0223813968444706
408163.2653061225,408163.2653061225,-1631562.38629189,-0.025581182198796504
612244.8979591837,408163.2653061225,-1835644.0189449512,-0.028780967553122414
816326.530612245,408163.2653061225,-2039725.6515980125,-0.031980752907448326
1020408.1632653062,408163.2653061225,-2243807.284251074,-0.03518053826177423
1224489.7959183673,408163.2653061225,-2447888.916904135,-0.03838032361610014
1428571.4285714286,408163.2653061225,-2651970.5495571964,-0.04158010897042605
1632653.06122449,408163.2653061225,-2856052.1822102577,-0.044779894324751955
1836734.693877551,408163.2653061225,-3060133.8148633186,-0.047979679679077854
2040816.3265306123,408163.2653061225,-3264215.44751638,-0.051179465033403766
2244897.959183674,408163.2653061225,-3468297.0801694416,-0.05437925038772968
2448979.5918367347,408163.2653061225,-3672378.7128225025,-0.057579035742055584
2653061.224489796,408163.2653061225,-3876460.345475564,-0.06077882109638149
2857142.8571428573,408163.2653061225,-4080541.978128625,-0.0639786064507074
3061224.4897959186,408163.2653061225,-4284623.610781686,-0.06717839180503331
3265306.12244898,408163.2653061225,-4488705.243434748,-0.07037817715935922
3469387.7551020407,408163.2653061225,-4692786.876087808,-0.0735779625136851
