upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,73161.41252901725,0.00607298180931734
204081.63265306124,0.0,-130920.22012404399,-0.010867424340253111
408163.2653061225,0.0,-335001.85277710523,-0.027807830489823562
612244.8979591837,0.0,-539083.4854301664,-0.044748236639394
816326.530612245,0.0,-743165.1180832277,-0.06168864278896446
1020408.1632653062,0.0,-947246.750736289,-0.07862904893853491
1224489.7959183673,0.0,-1151328.38338935,-0.09556945508810534
1428571.4285714286,0.0,-1355410.0160424113,-0.1125098612376758
1632653.06122449,0.0,-1559491.6486954726,-0.12945026738724624
1836734.693877551,0.0,-1763573.2813485337,-0.1463906735368167
2040816.3265306123,0.0,-1967654.914001595,-0.16333107968638716
2244897.959183674,0.0,-2171736.5466546565,-0.18027148583595762
2448979.5918367347,0.0,-2375818.1793077174,-0.19721189198552805
2653061.224489796,0.0,-2579899.8119607787,-0.21415229813509848
2857142.8571428573,0.0,-2783981.44461384,-0.23109270428466894
3061224.4897959186,0.0,-2988063.0772669013,-0.2480331104342394
3265306.12244898,0.0,-3192144.7099199626,-0.26497351658380985
3469387.7551020407,0.0,-3396226.3425730234,-0.2819139227333803
3673469.387755102,0.0,-3600307.9752260847,-0.2988543288829507
3877551.020408164,0.0,-3804389.6078791465,-0.3157947350325212
4081632.6530612246,0.0,-4008471.2405322073,-0.33273514118209163
4285714.285714285,0.0,-4212552.873185269,-0.3496755473316621
4489795.918367348,0.0,-4416634.505838331,-0.3666159534812326
4693877.551020408,0.0,-4620716.138491391,-0.383556359630803
4897959.183673469,0.0,-4824797.7711444525,-0.40049676578037346
5102040.816326531,0.0,-5028879.403797514,-0.4174371719299439
5306122.448979592,0.0,-5232961.036450575,-0.4343775780795144
5510204.081632653,0.0,-5437042.669103636,-0.4513179842290848
5714285.714285715,0.0,-5641124.301756698,-0.4682583903786553
5918367.346938776,0.0,-5845205.934409759,-0.48519879652822573
6122448.979591837,0.0,-6049287.56706282,-0.5021392026777962
6326530.612244898,0.0,-6253369.199715882,-0.5190796088273666
6530612.24489796,0.0,-6457450.832368943,-0.5360200149769371
6734693.87755102,0.0,-6661532.465022003,-0.5529604211265075
6938775.510204081,0.0,-6865614.097675065,-0.5699008272760779
7142857.142857144,0.0,-7069695.730328127,-0.5868412334256484
7346938.775510204,0.0,-7273777.362981187,-0.6037816395752188
7551020.408163265,0.0,-7477858.9956342485,-0.6207220457247893
7755102.040816328,0.0,-7681940.628287311,-0.6376624518743599
7959183.673469388,0.0,-7886022.260940371,-0.6546028580239303
8163265.306122449,0.0,-8090103.893593432,-0.6715432641735006
8367346.9387755105,0.0,-8294185.526246494,-0.6884836703230711
8571428.57142857,0.0,-8498267.158899553,-0.7054240764726414
8775510.204081632,0.0,-8702348.791552614,-0.7223644826222119
8979591.836734695,0.0,-8906430.424205678,-0.7393048887717825
9183673.469387757,0.0,-9110512.056858739,-0.756245294921353
9387755.102040816,0.0,-9314593.689511798,-0.7731857010709232
9591836.734693877,0.0,-9518675.32216486,-0.7901261072204937
9795918.367346939,0.0,-9722756.95481792,-0.8070665133700642
10000000.0,0.0,-9926838.587470982,-0.8240069195196346
0.0,204081.63265306124,-130920.22012404399,-0.010867424340253111
204081.63265306124,204081.63265306124,-335001.85277710523,-0.027807830489823562
408163.2653061225,204081.63265306124,-539083.4854301664,-0.044748236639394
612244.8979591837,204081.63265306124,-743165.1180832277,-0.06168864278896446
816326.530612245,204081.63265306124,-947246.750736289,-0.07862904893853491
1020408.1632653062,204081.63265306124,-1151328.38338935,-0.09556945508810534
1224489.7959183673,204081.63265306124,-1355410.0160424113,-0.1125098612376758
1428571.4285714286,204081.63265306124,-1559491.6486954726,-0.12945026738724624
1632653.06122449,204081.63265306124,-1763573.281348534,-0.1463906735368167
1836734.693877551,204081.63265306124,-1967654.914001595,-0.16333107968638716
2040816.3265306123,204081.63265306124,-2171736.546654656,-0.1802714858359576
2244897.959183674,204081.63265306124,-2375818.179307718,-0.19721189198552808
2448979.5918367347,204081.63265306124,-2579899.8119607787,-0.21415229813509848
2653061.224489796,204081.63265306124,-2783981.44461384,-0.23109270428466894
2857142.8571428573,204081.63265306124,-2988063.0772669013,-0.2480331104342394
3061224.4897959186,204081.63265306124,-3192144.7099199626,-0.26497351658380985
3265306.12244898,204081.63265306124,-3396226.342573024,-0.2819139227333803
3469387.7551020407,204081.63265306124,-3600307.9752260847,-0.2988543288829507
3673469.387755102,204081.63265306124,-3804389.607879146,-0.3157947350325212
3877551.020408164,204081.63265306124,-4008471.240532208,-0.3327351411820917
4081632.6530612246,204081.63265306124,-4212552.873185269,-0.3496755473316621
4285714.285714285,204081.63265306124,-4416634.50583833,-0.36661595348123255
4489795.918367348,204081.63265306124,-4620716.138491392,-0.3835563596308031
4693877.551020408,204081.63265306124,-4824797.7711444525,-0.40049676578037346
4897959.183673469,204081.63265306124,-5028879.403797514,-0.4174371719299439
5102040.816326531,204081.63265306124,-5232961.036450575,-0.4343775780795144
5306122.448979592,204081.63265306124,-5437042.669103636,-0.4513179842290848
5510204.081632653,204081.63265306124,-5641124.301756698,-0.4682583903786553
5714285.714285715,204081.63265306124,-5845205.934409759,-0.48519879652822573
5918367.346938776,204081.63265306124,-6049287.56706282,-0.5021392026777962
6122448.979591837,204081.63265306124,-6253369.199715882,-0.5190796088273666
6326530.612244898,204081.63265306124,-6457450.832368943,-0.5360200149769371
6530612.24489796,204081.63265306124,-6661532.465022004,-0.5529604211265076
6734693.87755102,204081.63265306124,-6865614.097675065,-0.5699008272760779
6938775.510204081,204081.63265306124,-7069695.730328126,-0.5868412334256484
7142857.142857144,204081.63265306124,-7273777.362981188,-0.6037816395752189
7346938.775510204,204081.63265306124,-7477858.9956342485,-0.6207220457247893
7551020.408163265,204081.63265306124,-7681940.62828731,-0.6376624518743598
7755102.040816328,204081.63265306124,-7886022.260940372,-0.6546028580239303
7959183.673469388,204081.63265306124,-8090103.893593432,-0.6715432641735006
8163265.306122449,204081.63265306124,-8294185.526246494,-0.6884836703230711
8367346.9387755105,204081.63265306124,-8498267.158899553,-0.7054240764726414
8571428.57142857,204081.63265306124,-8702348.791552614,-0.7223644826222119
8775510.204081632,204081.63265306124,-8906430.424205676,-0.7393048887717824
8979591.836734695,204081.63265306124,-9110512.056858739,-0.756245294921353
9183673.469387757,204081.63265306124,-9314593.6895118,-0.7731857010709234
9387755.102040816,204081.63265306124,-9518675.32216486,-0.7901261072204937
9591836.734693877,204081.63265306124,-9722756.95481792,-0.8070665133700642
9795918.367346939,204081.63265306124,-9926838.587470982,-0.8240069195196346
10000000.0,204081.63265306124,-10130920.220124044,-0.840947325669205
0.0,408163.2653061225,-335001.85277710523,-0.027807830489823562
204081.63265306124,408163.2653061225,-539083.4854301664,-0.044748236639394
408163.2653061225,408163.2653061225,-743165.1180832277,-0.06168864278896446
612244.8979591837,408163.2653061225,-947246.750736289,-0.07862904893853491
816326.530612245,408163.2653061225,-1151328.38338935,-0.09556945508810534
1020408.1632653062,408163.2653061225,-1355410.0160424113,-0.1125098612376758
1224489.7959183673,408163.2653061225,-1559491.6486954726,-0.12945026738724624
1428571.4285714286,408163.2653061225,-1763573.281348534,-0.1463906735368167
1632653.06122449,408163.2653061225,-1967654.9140015952,-0.16333107968638716
1836734.693877551,408163.2653061225,-2171736.546654656,-0.1802714858359576
2040816.3265306123,408163.2653061225,-2375818.1793077174,-0.19721189198552805
2244897.959183674,408163.2653061225,-2579899.811960779,-0.21415229813509853
2448979.5918367347,408163.2653061225,-2783981.44461384,-0.23109270428466894
2653061.224489796,408163.2653061225,-2988063.0772669013,-0.2480331104342394
2857142.8571428573,408163.2653061225,-3192144.7099199626,-0.26497351658380985
3061224.4897959186,408163.2653061225,-3396226.342573024,-0.2819139227333803
3265306.12244898,408163.2653061225,-3600307.975226085,-0.29885432888295077
3469387.7551020407,408163.2653061225,-3804389.607879146,-0.3157947350325212
3673469.387755102,408163.2653061225,-4008471.2405322073,-0.33273514118209163
3877551.020408164,408163.2653061225,-4212552.87318527,-0.3496755473316622
4081632.6530612246,408163.2653061225,-4416634.50583833,-0.36661595348123255
4285714.285714285,408163.2653061225,-4620716.138491391,-0.383556359630803
4489795.918367348,408163.2653061225,-4824797.771144453,-0.4004967657803735
4693877.551020408,408163.2653061225,-5028879.403797514,-0.4174371719299439
4897959.183673469,408163.2653061225,-5232961.036450575,-0.4343775780795144
5102040.816326531,408163.2653061225,-5437042.669103636,-0.4513179842290848
5306122.448979592,408163.2653061225,-5641124.301756698,-0.4682583903786553
5510204.081632653,408163.2653061225,-5845205.934409759,-0.48519879652822573
5714285.714285715,408163.2653061225,-6049287.56706282,-0.5021392026777962
5918367.346938776,408163.2653061225,-6253369.199715882,-0.5190796088273666
6122448.979591837,408163.2653061225,-6457450.832368943,-0.5360200149769371
6326530.612244898,408163.2653061225,-6661532.465022004,-0.5529604211265076
6530612.24489796,408163.2653061225,-6865614.0976750655,-0.569900827276078
6734693.87755102,408163.2653061225,-7069695.730328126,-0.5868412334256484
6938775.510204081,408163.2653061225,-7273777.362981187,-0.6037816395752188
7142857.142857144,408163.2653061225,-7477858.995634249,-0.6207220457247894
7346938.775510204,408163.2653061225,-7681940.62828731,-0.6376624518743598
7551020.408163265,408163.2653061225,-7886022.260940371,-0.6546028580239303
7755102.040816328,408163.2653061225,-8090103.893593433,-0.6715432641735007
7959183.673469388,408163.2653061225,-8294185.526246494,-0.6884836703230711
8163265.306122449,408163.2653061225,-8498267.158899553,-0.7054240764726414
8367346.9387755105,408163.2653061225,-8702348.791552614,-0.7223644826222119
8571428.57142857,408163.2653061225,-8906430.424205676,-0.7393048887717824
8775510.204081632,408163.2653061225,-9110512.056858737,-0.7562452949213527
8979591.836734695,408163.2653061225,-9314593.6895118,-0.7731857010709234
9183673.469387757,408163.2653061225,-9518675.322164861,-0.7901261072204938
9387755.102040816,408163.2653061225,-9722756.95481792,-0.8070665133700642
9591836.734693877,408163.2653061225,-9926838.587470982,-0.8240069195196346
9795918.367346939,408163.2653061225,-10130920.220124044,-0.840947325669205
