upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,97730.2044298183,0.0673037262086118
204081.63265306124,0.0,-106351.42822324294,-0.07324089260625812
408163.2653061225,0.0,-310433.06087630417,-0.21378551142112803
612244.8979591837,0.0,-514514.69352936535,-0.3543301302359979
816326.530612245,0.0,-718596.3261824267,-0.49487474905086787
1020408.1632653062,0.0,-922677.9588354878,-0.6354193678657377
1224489.7959183673,0.0,-1126759.591488549,-0.7759639866806076
1428571.4285714286,0.0,-1330841.2241416103,-0.9165086054954776
1632653.06122449,0.0,-1534922.8567946716,-1.0570532243103476
1836734.693877551,0.0,-1739004.4894477327,-1.1975978431252174
2040816.3265306123,0.0,-1943086.122100794,-1.3381424619400872
2244897.959183674,0.0,-2147167.7547538555,-1.4786870807549575
2448979.5918367347,0.0,-2351249.3874069164,-1.619231699569827
2653061.224489796,0.0,-2555331.0200599777,-1.759776318384697
2857142.8571428573,0.0,-2759412.652713039,-1.900320937199567
3061224.4897959186,0.0,-2963494.2853661003,-2.040865556014437
3265306.12244898,0.0,-3167575.9180191616,-2.181410174829307
3469387.7551020407,0.0,-3371657.5506722224,-2.3219547936441765
3673469.387755102,0.0,-3575739.1833252837,-2.4624994124590467
3877551.020408164,0.0,-3779820.8159783455,-2.603044031273917
4081632.6530612246,0.0,-3983902.4486314063,-2.7435886500887863
4285714.285714285,0.0,-4187984.081284467,-2.884133268903656
4489795.918367348,0.0,-4392065.713937529,-3.0246778877185267
4693877.551020408,0.0,-4596147.34659059,-3.165222506533396
4897959.183673469,0.0,-4800228.979243651,-3.305767125348266
5102040.816326531,0.0,-5004310.611896712,-3.4463117441631357
5306122.448979592,0.0,-5208392.244549774,-3.586856362978006
5510204.081632653,0.0,-5412473.877202835,-3.7274009817928757
5714285.714285715,0.0,-5616555.509855896,-3.867945600607746
5918367.346938776,0.0,-5820637.142508958,-4.008490219422616
6122448.979591837,0.0,-6024718.775162019,-4.149034838237486
6326530.612244898,0.0,-6228800.40781508,-4.289579457052356
6530612.24489796,0.0,-6432882.040468141,-4.430124075867226
6734693.87755102,0.0,-6636963.673121202,-4.570668694682095
6938775.510204081,0.0,-6841045.305774263,-4.711213313496965
7142857.142857144,0.0,-7045126.938427325,-4.851757932311836
7346938.775510204,0.0,-7249208.571080386,-4.992302551126705
7551020.408163265,0.0,-7453290.203733447,-5.1328471699415745
7755102.040816328,0.0,-7657371.836386509,-5.273391788756445
7959183.673469388,0.0,-7861453.46903957,-5.413936407571315
8163265.306122449,0.0,-8065535.101692631,-5.554481026386185
8367346.9387755105,0.0,-8269616.734345692,-5.695025645201055
8571428.57142857,0.0,-8473698.366998753,-5.835570264015924
8775510.204081632,0.0,-8677779.999651814,-5.976114882830794
8979591.836734695,0.0,-8881861.632304877,-6.116659501645665
9183673.469387757,0.0,-9085943.264957938,-6.2572041204605355
9387755.102040816,0.0,-9290024.897610998,-6.3977487392754036
9591836.734693877,0.0,-9494106.53026406,-6.538293358090273
9795918.367346939,0.0,-9698188.16291712,-6.678837976905144
10000000.0,0.0,-9902269.795570182,-6.819382595720014
0.0,204081.63265306124,-106351.42822324294,-0.07324089260625812
204081.63265306124,204081.63265306124,-310433.06087630417,-0.21378551142112803
408163.2653061225,204081.63265306124,-514514.69352936535,-0.3543301302359979
612244.8979591837,204081.63265306124,-718596.3261824267,-0.49487474905086787
816326.530612245,204081.63265306124,-922677.958835488,-0.6354193678657378
1020408.1632653062,204081.63265306124,-1126759.591488549,-0.7759639866806076
1224489.7959183673,204081.63265306124,-1330841.2241416103,-0.9165086054954776
1428571.4285714286,204081.63265306124,-1534922.8567946716,-1.0570532243103476
1632653.06122449,204081.63265306124,-1739004.489447733,-1.1975978431252174
1836734.693877551,204081.63265306124,-1943086.122100794,-1.3381424619400872
2040816.3265306123,204081.63265306124,-2147167.754753855,-1.478687080754957
2244897.959183674,204081.63265306124,-2351249.387406917,-1.6192316995698275
2448979.5918367347,204081.63265306124,-2555331.0200599777,-1.759776318384697
2653061.224489796,204081.63265306124,-2759412.652713039,-1.900320937199567
2857142.8571428573,204081.63265306124,-2963494.2853661003,-2.040865556014437
3061224.4897959186,204081.63265306124,-3167575.9180191616,-2.181410174829307
3265306.12244898,204081.63265306124,-3371657.550672223,-2.321954793644177
3469387.7551020407,204081.63265306124,-3575739.1833252837,-2.4624994124590467
3673469.387755102,204081.63265306124,-3779820.815978345,-2.6030440312739165
3877551.020408164,204081.63265306124,-3983902.4486314068,-2.7435886500887867
4081632.6530612246,204081.63265306124,-4187984.081284467,-2.884133268903656
4285714.285714285,204081.63265306124,-4392065.713937528,-3.024677887718526
