upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,2375353.386979384,0.014325764942046187
505050.5050505051,0.0,1870302.8819288788,0.011279803503686934
1010101.0101010102,0.0,1365252.3768783738,0.008233842065327682
1515151.5151515151,0.0,860201.8718278687,0.00518788062696843
2020202.0202020204,0.0,355151.36677736347,0.0021419191886091764
2525252.5252525257,0.0,-149899.1382731418,-0.0009040422497500776
3030303.0303030303,0.0,-654949.6433236464,-0.003950003688109327
3535353.5353535353,0.0,-1160000.1483741514,-0.006995965126468579
4040404.040404041,0.0,-1665050.653424657,-0.010041926564827835
4545454.545454546,0.0,-2170101.158475162,-0.013087888003187087
5050505.050505051,0.0,-2675151.6635256675,-0.016133849441546343
5555555.555555556,0.0,-3180202.168576172,-0.01917981087990559
6060606.060606061,0.0,-3685252.6736266767,-0.022225772318264843
6565656.565656566,0.0,-4190303.178677182,-0.025271733756624098
7070707.070707071,0.0,-4695353.683727687,-0.02831769519498335
7575757.575757576,0.0,-5200404.188778192,-0.0313636566333426
8080808.080808082,0.0,-5705454.693828698,-0.034409618071701856
8585858.585858587,0.0,-6210505.198879203,-0.03745557951006111
9090909.090909092,0.0,-6715555.703929707,-0.04050154094842036
9595959.595959596,0.0,-7220606.208980212,-0.04354750238677961
10101010.101010103,0.0,-7725656.714030718,-0.04659346382513887
10606060.606060607,0.0,-8230707.219081223,-0.04963942526349812
11111111.111111112,0.0,-8735757.724131728,-0.052685386701857365
11616161.616161618,0.0,-9240808.229182234,-0.05573134814021663
12121212.121212121,0.0,-9745858.734232737,-0.05877730957857587
12626262.626262626,0.0,-10250909.239283241,-0.06182327101693512
13131313.131313132,0.0,-10755959.744333748,-0.06486923245529437
13636363.636363637,0.0,-11261010.249384252,-0.06791519389365362
14141414.141414141,0.0,-11766060.754434757,-0.07096115533201287
14646464.646464648,0.0,-12271111.259485263,-0.07400711677037214
15151515.151515152,0.0,-12776161.764535768,-0.07705307820873139
15656565.656565657,0.0,-13281212.269586273,-0.08009903964709064
16161616.161616163,0.0,-13786262.774636779,-0.0831450010854499
16666666.666666668,0.0,-14291313.279687284,-0.08619096252380914
17171717.171717174,0.0,-14796363.78473779,-0.08923692396216841
17676767.676767677,0.0,-15301414.289788293,-0.09228288540052765
18181818.181818184,0.0,-15806464.7948388,-0.0953288468388869
18686868.68686869,0.0,-16311515.299889306,-0.09837480827724616
19191919.191919193,0.0,-16816565.80493981,-0.10142076971560542
19696969.6969697,0.0,-17321616.309990317,-0.10446673115396468
20202020.202020206,0.0,-17826666.815040823,-0.10751269259232393
20707070.70707071,0.0,-18331717.320091326,-0.11055865403068317
21212121.212121215,0.0,-18836767.825141832,-0.11360461546904244
21717171.71717172,0.0,-19341818.33019234,-0.1166505769074017
22222222.222222224,0.0,-19846868.83524284,-0.11969653834576094
22727272.72727273,0.0,-20351919.340293348,-0.12274249978412019
23232323.232323237,0.0,-20856969.845343854,-0.12578846122247947
23737373.73737374,0.0,-21362020.350394357,-0.1288344226608387
24242424.242424242,0.0,-21867070.85544486,-0.13188038409919794
24747474.74747475,0.0,-22372121.360495366,-0.1349263455375572
25252525.25252525,0.0,-22877171.86554587,-0.13797230697591642
25757575.757575758,0.0,-23382222.370596375,-0.1410182684142757
26262626.262626264,0.0,-23887272.87564688,-0.14406422985263495
26767676.767676767,0.0,-24392323.380697384,-0.1471101912909942
27272727.272727273,0.0,-24897373.88574789,-0.15015615272935345
27777777.77777778,0.0,-25402424.390798397,-0.1532021141677127
28282828.282828283,0.0,-25907474.8958489,-0.15624807560607196
28787878.78787879,0.0,-26412525.400899407,-0.1592940370444312
29292929.292929295,0.0,-26917575.905949913,-0.1623399984827905
29797979.7979798,0.0,-27422626.411000416,-0.1653859599211497
30303030.303030305,0.0,-27927676.916050922,-0.16843192135950896
30808080.80808081,0.0,-28432727.42110143,-0.17147788279786824
31313131.313131314,0.0,-28937777.92615193,-0.17452384423622747
31818181.81818182,0.0,-29442828.431202438,-0.17756980567458674
32323232.323232327,0.0,-29947878.936252944,-0.180615767112946
32828282.82828283,0.0,-30452929.441303447,-0.18366172855130522
33333333.333333336,0.0,-30957979.946353953,-0.1867076899896645
33838383.83838384,0.0,-31463030.451404456,-0.18975365142802372
34343434.34343435,0.0,-31968080.956454966,-0.192799612866383
34848484.84848485,0.0,-32473131.46150547,-0.19584557430474225
35353535.353535354,0.0,-32978181.96655597,-0.1988915357431015
35858585.858585864,0.0,-33483232.47160648,-0.20193749718146078
36363636.36363637,0.0,-33988282.97665698,-0.20498345861981998
36868686.86868687,0.0,-34493333.48170748,-0.20802942005817923
37373737.37373738,0.0,-34998383.98675799,-0.2110753814965385
37878787.87878788,0.0,-35503434.4918085,-0.21412134293489776
38383838.383838385,0.0,-36008484.996859,-0.217167304373257
38888888.888888896,0.0,-36513535.50190951,-0.22021326581161627
39393939.3939394,0.0,-37018586.00696001,-0.22325922724997552
39898989.8989899,0.0,-37523636.512010515,-0.22630518868833474
40404040.40404041,0.0,-38028687.017061025,-0.22935115012669402
40909090.909090914,0.0,-38533737.52211153,-0.23239711156505327
41414141.41414142,0.0,-39038788.02716203,-0.2354430730034125
41919191.91919193,0.0,-39543838.53221254,-0.2384890344417718
42424242.42424243,0.0,-40048889.03726304,-0.24153499588013103
42929292.92929293,0.0,-40553939.542313546,-0.24458095731849028
43434343.43434344,0.0,-41058990.047364056,-0.24762691875684956
43939393.939393945,0.0,-41564040.55241456,-0.2506728801952088
44444444.44444445,0.0,-42069091.05746506,-0.253718841633568
44949494.94949496,0.0,-42574141.56251557,-0.25676480307192734
45454545.45454546,0.0,-43079192.067566074,-0.25981076451028656
45959595.95959596,0.0,-43584242.57261658,-0.2628567259486458
46464646.46464647,0.0,-44089293.07766709,-0.26590268738700507
46969696.969696976,0.0,-44594343.58271759,-0.2689486488253643
47474747.47474748,0.0,-45099394.08776809,-0.27199461026372357
47979797.97979799,0.0,-45604444.5928186,-0.27504057170208285
48484848.484848484,0.0,-46109495.0978691,-0.278086533140442
48989898.98989899,0.0,-46614545.6029196,-0.28113249457880124
49494949.4949495,0.0,-47119596.10797011,-0.2841784560171605
50000000.0,0.0,-47624646.613020614,-0.2872244174555198
0.0,505050.5050505051,1870302.8819288788,0.011279803503686934
505050.5050505051,505050.5050505051,1365252.3768783738,0.008233842065327682
1010101.0101010102,505050.5050505051,860201.8718278685,0.005187880626968428
1515151.5151515151,505050.5050505051,355151.3667773637,0.0021419191886091777
2020202.0202020204,505050.5050505051,-149899.1382731418,-0.0009040422497500776
2525252.5252525257,505050.5050505051,-654949.6433236469,-0.00395000368810933
3030303.0303030303,505050.5050505051,-1160000.1483741514,-0.006995965126468579
3535353.5353535353,505050.5050505051,-1665050.6534246565,-0.010041926564827832
4040404.040404041,505050.5050505051,-2170101.158475162,-0.013087888003187087
4545454.545454546,505050.5050505051,-2675151.6635256675,-0.016133849441546343
5050505.050505051,505050.5050505051,-3180202.168576173,-0.0191798108799056
5555555.555555556,505050.5050505051,-3685252.6736266776,-0.022225772318264846
6060606.060606061,505050.5050505051,-4190303.178677182,-0.025271733756624098
6565656.565656566,505050.5050505051,-4695353.683727687,-0.02831769519498335
7070707.070707071,505050.5050505051,-5200404.188778192,-0.0313636566333426
7575757.575757576,505050.5050505051,-5705454.693828698,-0.034409618071701856
8080808.080808082,505050.5050505051,-6210505.198879203,-0.03745557951006111
8585858.585858587,505050.5050505051,-6715555.703929707,-0.04050154094842036
9090909.090909092,505050.5050505051,-7220606.208980212,-0.04354750238677961
9595959.595959596,505050.5050505051,-7725656.714030717,-0.046593463825138855
10101010.101010103,505050.5050505051,-8230707.219081223,-0.04963942526349812
10606060.606060607,505050.5050505051,-8735757.724131728,-0.052685386701857365
