upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,4485335.298779488,0.06860963578079544
204081.63265306124,0.0,4281253.666126426,0.06548791453741667
408163.2653061225,0.0,4077172.033473365,0.06236619329403789
612244.8979591837,0.0,3873090.4008203037,0.05924447205065911
816326.530612245,0.0,3669008.7681672424,0.05612275080728033
1020408.1632653062,0.0,3464927.1355141816,0.05300102956390156
1224489.7959183673,0.0,3260845.5028611203,0.049879308320522786
1428571.4285714286,0.0,3056763.870208059,0.046757587077144
1632653.06122449,0.0,2852682.2375549977,0.043635865833765226
1836734.693877551,0.0,2648600.604901937,0.04051414459038646
2040816.3265306123,0.0,2444518.9722488755,0.037392423347007674
2244897.959183674,0.0,2240437.339595814,0.03427070210362889
2448979.5918367347,0.0,2036355.706942753,0.031148980860250117
2653061.224489796,0.0,1832274.0742896916,0.02802725961687134
2857142.8571428573,0.0,1628192.4416366303,0.02490553837349256
3061224.4897959186,0.0,1424110.808983569,0.021783817130113785
3265306.12244898,0.0,1220029.1763305077,0.018662095886735005
3469387.7551020407,0.0,1015947.5436774469,0.015540374643356234
3673469.387755102,0.0,811865.9110243856,0.012418653399977456
3877551.020408164,0.0,607784.2783713238,0.009296932156598669
4081632.6530612246,0.0,403702.645718263,0.0061752109132198986
4285714.285714285,0.0,199621.01306520216,0.003053489669841127
4489795.918367348,0.0,-4460.61958786007,-6.82315735376659e-05
4693877.551020408,0.0,-208542.25224092044,-0.00318995281691643
4897959.183673469,0.0,-412623.88489398174,-0.006311674060295209
5102040.816326531,0.0,-616705.517547043,-0.009433395303673988
5306122.448979592,0.0,-820787.1502001043,-0.012555116547052766
5510204.081632653,0.0,-1024868.7828531656,-0.015676837790431546
5714285.714285715,0.0,-1228950.415506227,-0.018798559033810322
5918367.346938776,0.0,-1433032.0481592882,-0.021920280277189102
6122448.979591837,0.0,-1637113.6808123495,-0.025042001520567878
6326530.612244898,0.0,-1841195.3134654108,-0.028163722763946658
6530612.24489796,0.0,-2045276.9461184721,-0.031285444007325434
6734693.87755102,0.0,-2249358.5787715325,-0.034407165250704204
6938775.510204081,0.0,-2453440.211424594,-0.03752888649408298
