upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,-170177.0488963193,-0.0075131028246159595
204081.63265306124,0.0,-374258.68154938053,-0.01652305040968725
408163.2653061225,0.0,-578340.3142024418,-0.025532997994758545
612244.8979591837,0.0,-782421.9468555029,-0.03454294557982983
816326.530612245,0.0,-986503.5795085642,-0.04355289316490112
1020408.1632653062,0.0,-1190585.2121616255,-0.05256284074997242
1224489.7959183673,0.0,-1394666.8448146866,-0.0615727883350437
1428571.4285714286,0.0,-1598748.4774677479,-0.07058273592011499
1632653.06122449,0.0,-1802830.1101208092,-0.07959268350518628
1836734.693877551,0.0,-2006911.7427738702,-0.08860263109025757
2040816.3265306123,0.0,-2210993.375426932,-0.09761257867532887
2244897.959183674,0.0,-2415075.008079993,-0.10662252626040017
2448979.5918367347,0.0,-2619156.640733054,-0.11563247384547144
2653061.224489796,0.0,-2823238.273386115,-0.12464242143054273
2857142.8571428573,0.0,-3027319.9060391765,-0.13365236901561403
3061224.4897959186,0.0,-3231401.538692238,-0.14266231660068532
3265306.12244898,0.0,-3435483.171345299,-0.1516722641857566
3469387.7551020407,0.0,-3639564.80399836,-0.1606822117708279
3673469.387755102,0.0,-3843646.4366514212,-0.16969215935589918
3877551.020408164,0.0,-4047728.069304483,-0.1787021069409705
4081632.6530612246,0.0,-4251809.701957544,-0.18771205452604178
4285714.285714285,0.0,-4455891.334610605,-0.19672200211111304
4489795.918367348,0.0,-4659972.967263667,-0.20573194969618439
4693877.551020408,0.0,-4864054.599916727,-0.21474189728125562
4897959.183673469,0.0,-5068136.232569789,-0.22375184486632693
5102040.816326531,0.0,-5272217.86522285,-0.23276179245139822
5306122.448979592,0.0,-5476299.497875911,-0.2417717400364695
5510204.081632653,0.0,-5680381.1305289725,-0.2507816876215408
5714285.714285715,0.0,-5884462.763182034,-0.2597916352066121
5918367.346938776,0.0,-6088544.395835095,-0.26880158279168337
6122448.979591837,0.0,-6292626.028488156,-0.27781153037675466
6326530.612244898,0.0,-6496707.661141218,-0.286821477961826
6530612.24489796,0.0,-6700789.293794279,-0.2958314255468973
6734693.87755102,0.0,-6904870.926447339,-0.3048413731319685
6938775.510204081,0.0,-7108952.559100401,-0.3138513207170398
7142857.142857144,0.0,-7313034.191753463,-0.32286126830211115
7346938.775510204,0.0,-7517115.824406523,-0.3318712158871824
7551020.408163265,0.0,-7721197.457059585,-0.3408811634722537
7755102.040816328,0.0,-7925279.089712647,-0.349891111057325
7959183.673469388,0.0,-8129360.722365707,-0.3589010586423963
8163265.306122449,0.0,-8333442.355018768,-0.3679110062274676
8367346.9387755105,0.0,-8537523.98767183,-0.3769209538125389
8571428.57142857,0.0,-8741605.620324891,-0.38593090139761016
8775510.204081632,0.0,-8945687.252977952,-0.39494084898268145
8979591.836734695,0.0,-9149768.885631016,-0.40395079656775285
9183673.469387757,0.0,-9353850.518284077,-0.41296074415282413
