upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,191619.93844693774,0.11993350937374146
204081.63265306124,0.0,-12461.694206123502,-0.0077996827000165305
408163.2653061225,0.0,-216543.32685918474,-0.13553287477377451
612244.8979591837,0.0,-420624.95951224596,-0.2632660668475325
816326.530612245,0.0,-624706.5921653073,-0.39099925892129056
1020408.1632653062,0.0,-828788.2248183684,-0.5187324509950485
1224489.7959183673,0.0,-1032869.8574714296,-0.6464656430688065
1428571.4285714286,0.0,-1236951.4901244908,-0.7741988351425644
1632653.06122449,0.0,-1441033.122777552,-0.9019320272163225
1836734.693877551,0.0,-1645114.7554306132,-1.0296652192900804
2040816.3265306123,0.0,-1849196.3880836745,-1.1573984113638385
2244897.959183674,0.0,-2053278.020736736,-1.2851316034375966
2448979.5918367347,0.0,-2257359.653389797,-1.4128647955113545
2653061.224489796,0.0,-2461441.2860428584,-1.5405979875851126
2857142.8571428573,0.0,-2665522.9186959197,-1.6683311796588705
3061224.4897959186,0.0,-2869604.551348981,-1.7960643717326286
3265306.12244898,0.0,-3073686.1840020423,-1.9237975638063867
3469387.7551020407,0.0,-3277767.816655103,-2.0515307558801443
3673469.387755102,0.0,-3481849.4493081644,-2.179263947953902
3877551.020408164,0.0,-3685931.081961226,-2.3069971400276605
4081632.6530612246,0.0,-3890012.714614287,-2.4347303321014184
4285714.285714285,0.0,-4094094.347267348,-2.5624635241751763
4489795.918367348,0.0,-4298175.97992041,-2.6901967162489346
4693877.551020408,0.0,-4502257.61257347,-2.817929908322692
4897959.183673469,0.0,-4706339.245226531,-2.94566310039645
5102040.816326531,0.0,-4910420.877879593,-3.073396292470208
5306122.448979592,0.0,-5114502.510532654,-3.201129484543966
5510204.081632653,0.0,-5318584.143185715,-3.328862676617724
5714285.714285715,0.0,-5522665.7758387765,-3.456595868691482
5918367.346938776,0.0,-5726747.408491838,-3.5843290607652403
6122448.979591837,0.0,-5930829.041144899,-3.712062252838998
6326530.612244898,0.0,-6134910.67379796,-3.839795444912756
6530612.24489796,0.0,-6338992.306451022,-3.9675286369865144
6734693.87755102,0.0,-6543073.939104082,-4.095261829060272
6938775.510204081,0.0,-6747155.571757143,-4.22299502113403
7142857.142857144,0.0,-6951237.204410206,-4.3507282132077885
7346938.775510204,0.0,-7155318.837063266,-4.4784614052815455
7551020.408163265,0.0,-7359400.469716327,-4.606194597355303
7755102.040816328,0.0,-7563482.1023693895,-4.733927789429062
7959183.673469388,0.0,-7767563.73502245,-4.86166098150282
8163265.306122449,0.0,-7971645.367675511,-4.989394173576578
8367346.9387755105,0.0,-8175727.0003285725,-5.117127365650336
8571428.57142857,0.0,-8379808.632981633,-5.244860557724094
8775510.204081632,0.0,-8583890.265634695,-5.3725937497978515
8979591.836734695,0.0,-8787971.898287758,-5.500326941871611
9183673.469387757,0.0,-8992053.53094082,-5.628060133945369
9387755.102040816,0.0,-9196135.163593879,-5.755793326019126
9591836.734693877,0.0,-9400216.79624694,-5.883526518092884
9795918.367346939,0.0,-9604298.428900002,-6.011259710166642
10000000.0,0.0,-9808380.061553063,-6.138992902240401
0.0,204081.63265306124,-12461.694206123502,-0.0077996827000165305
204081.63265306124,204081.63265306124,-216543.32685918474,-0.13553287477377451
408163.2653061225,204081.63265306124,-420624.95951224596,-0.2632660668475325
612244.8979591837,204081.63265306124,-624706.5921653073,-0.39099925892129056
816326.530612245,204081.63265306124,-828788.2248183686,-0.5187324509950486
1020408.1632653062,204081.63265306124,-1032869.8574714296,-0.6464656430688065
1224489.7959183673,204081.63265306124,-1236951.4901244908,-0.7741988351425644
1428571.4285714286,204081.63265306124,-1441033.122777552,-0.9019320272163225
1632653.06122449,204081.63265306124,-1645114.7554306134,-1.0296652192900806
1836734.693877551,204081.63265306124,-1849196.3880836745,-1.1573984113638385
2040816.3265306123,204081.63265306124,-2053278.0207367355,-1.2851316034375964
2244897.959183674,204081.63265306124,-2257359.6533897975,-1.4128647955113547
2448979.5918367347,204081.63265306124,-2461441.2860428584,-1.5405979875851126
2653061.224489796,204081.63265306124,-2665522.9186959197,-1.6683311796588705
2857142.8571428573,204081.63265306124,-2869604.551348981,-1.7960643717326286
3061224.4897959186,204081.63265306124,-3073686.1840020423,-1.9237975638063867
3265306.12244898,204081.63265306124,-3277767.8166551036,-2.0515307558801448
3469387.7551020407,204081.63265306124,-3481849.4493081644,-2.179263947953902
3673469.387755102,204081.63265306124,-3685931.0819612257,-2.3069971400276605
3877551.020408164,204081.63265306124,-3890012.7146142875,-2.434730332101419
4081632.6530612246,204081.63265306124,-4094094.347267348,-2.5624635241751763
4285714.285714285,204081.63265306124,-4298175.979920409,-2.6901967162489338
4489795.918367348,204081.63265306124,-4502257.612573471,-2.8179299083226925
4693877.551020408,204081.63265306124,-4706339.245226531,-2.94566310039645
4897959.183673469,204081.63265306124,-4910420.877879593,-3.073396292470208
5102040.816326531,204081.63265306124,-5114502.510532654,-3.201129484543966
5306122.448979592,204081.63265306124,-5318584.143185715,-3.328862676617724
5510204.081632653,204081.63265306124,-5522665.7758387765,-3.456595868691482
5714285.714285715,204081.63265306124,-5726747.408491838,-3.5843290607652403
5918367.346938776,204081.63265306124,-5930829.041144899,-3.712062252838998
6122448.979591837,204081.63265306124,-6134910.67379796,-3.839795444912756
6326530.612244898,204081.63265306124,-6338992.306451022,-3.9675286369865144
6530612.24489796,204081.63265306124,-6543073.939104083,-4.095261829060272
6734693.87755102,204081.63265306124,-6747155.571757143,-4.22299502113403
6938775.510204081,204081.63265306124,-6951237.204410205,-4.350728213207788
7142857.142857144,204081.63265306124,-7155318.837063267,-4.478461405281546
7346938.775510204,204081.63265306124,-7359400.469716327,-4.606194597355303
7551020.408163265,204081.63265306124,-7563482.102369389,-4.733927789429062
7755102.040816328,204081.63265306124,-7767563.735022451,-4.86166098150282
7959183.673469388,204081.63265306124,-7971645.367675511,-4.989394173576578
8163265.306122449,204081.63265306124,-8175727.0003285725,-5.117127365650336
8367346.9387755105,204081.63265306124,-8379808.632981633,-5.244860557724094
8571428.57142857,204081.63265306124,-8583890.265634695,-5.3725937497978515
8775510.204081632,204081.63265306124,-8787971.898287756,-5.50032694187161
8979591.836734695,204081.63265306124,-8992053.53094082,-5.628060133945369
9183673.469387757,204081.63265306124,-9196135.16359388,-5.755793326019127
9387755.102040816,204081.63265306124,-9400216.79624694,-5.883526518092884
9591836.734693877,204081.63265306124,-9604298.428900002,-6.011259710166642
9795918.367346939,204081.63265306124,-9808380.061553063,-6.138992902240401
10000000.0,204081.63265306124,-10012461.694206124,-6.2667260943141585
0.0,408163.2653061225,-216543.32685918474,-0.13553287477377451
204081.63265306124,408163.2653061225,-420624.95951224596,-0.2632660668475325
408163.2653061225,408163.2653061225,-624706.5921653073,-0.39099925892129056
612244.8979591837,408163.2653061225,-828788.2248183684,-0.5187324509950485
816326.530612245,408163.2653061225,-1032869.8574714296,-0.6464656430688065
1020408.1632653062,408163.2653061225,-1236951.4901244908,-0.7741988351425644
1224489.7959183673,408163.2653061225,-1441033.122777552,-0.9019320272163225
1428571.4285714286,408163.2653061225,-1645114.7554306134,-1.0296652192900806
1632653.06122449,408163.2653061225,-1849196.3880836747,-1.1573984113638385
1836734.693877551,408163.2653061225,-2053278.0207367355,-1.2851316034375964
2040816.3265306123,408163.2653061225,-2257359.653389797,-1.4128647955113545
2244897.959183674,408163.2653061225,-2461441.286042859,-1.5405979875851128
2448979.5918367347,408163.2653061225,-2665522.9186959197,-1.6683311796588705
2653061.224489796,408163.2653061225,-2869604.551348981,-1.7960643717326286
2857142.8571428573,408163.2653061225,-3073686.1840020423,-1.9237975638063867
3061224.4897959186,408163.2653061225,-3277767.8166551036,-2.0515307558801448
3265306.12244898,408163.2653061225,-3481849.449308165,-2.1792639479539027
3469387.7551020407,408163.2653061225,-3685931.0819612257,-2.3069971400276605
3673469.387755102,408163.2653061225,-3890012.714614287,-2.4347303321014184
