upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,4600294.736607168,0.023598189103807274
505050.5050505051,0.0,4095244.231556663,0.021007425248979743
1010101.0101010102,0.0,3590193.726506158,0.01841666139415221
1515151.5151515151,0.0,3085143.2214556527,0.01582589753932468
2020202.0202020204,0.0,2580092.7164051477,0.01323513368449715
2525252.5252525257,0.0,2075042.2113546422,0.010644369829669615
3030303.0303030303,0.0,1569991.7063041376,0.008053605974842087
3535353.5353535353,0.0,1064941.2012536325,0.0054628421200145555
4040404.040404041,0.0,559890.696203127,0.0028720782651870218
4545454.545454546,0.0,54840.19115262199,0.0002813144103594904
5050505.050505051,0.0,-450210.3138978835,-0.0023094494444680434
5555555.555555556,0.0,-955260.8189483881,-0.004900213299295572
6060606.060606061,0.0,-1460311.3239988927,-0.007490977154123102
6565656.565656566,0.0,-1965361.8290493982,-0.010081741008950635
7070707.070707071,0.0,-2470412.334099903,-0.012672504863778165
7575757.575757576,0.0,-2975462.8391504083,-0.015263268718605697
8080808.080808082,0.0,-3480513.344200914,-0.01785403257343323
8585858.585858587,0.0,-3985563.8492514193,-0.020444796428260765
9090909.090909092,0.0,-4490614.354301924,-0.023035560283088296
9595959.595959596,0.0,-4995664.8593524285,-0.025626324137915824
10101010.101010103,0.0,-5500715.364402935,-0.02821708799274336
10606060.606060607,0.0,-6005765.8694534395,-0.03080785184757089
11111111.111111112,0.0,-6510816.374503944,-0.03339861570239842
11616161.616161618,0.0,-7015866.8795544505,-0.03598937955722596
12121212.121212121,0.0,-7520917.384604953,-0.03858014341205348
12626262.626262626,0.0,-8025967.889655458,-0.04117090726688101
13131313.131313132,0.0,-8531018.394705964,-0.04376167112170855
13636363.636363637,0.0,-9036068.899756469,-0.04635243497653607
14141414.141414141,0.0,-9541119.404806973,-0.0489431988313636
14646464.646464648,0.0,-10046169.90985748,-0.05153396268619114
15151515.151515152,0.0,-10551220.414907984,-0.05412472654101867
15656565.656565657,0.0,-11056270.919958489,-0.056715490395846196
16161616.161616163,0.0,-11561321.425008995,-0.05930625425067374
16666666.666666668,0.0,-12066371.9300595,-0.061897018105501266
17171717.171717174,0.0,-12571422.435110006,-0.06448778196032881
17676767.676767677,0.0,-13076472.94016051,-0.06707854581515632
18181818.181818184,0.0,-13581523.445211016,-0.06966930966998386
18686868.68686869,0.0,-14086573.950261522,-0.0722600735248114
19191919.191919193,0.0,-14591624.455312025,-0.07485083737963892
19696969.6969697,0.0,-15096674.960362531,-0.07744160123446646
20202020.202020206,0.0,-15601725.465413038,-0.080032365089294
20707070.70707071,0.0,-16106775.97046354,-0.08262312894412152
21212121.212121215,0.0,-16611826.475514047,-0.08521389279894906
21717171.71717172,0.0,-17116876.980564553,-0.0878046566537766
22222222.222222224,0.0,-17621927.485615056,-0.09039542050860412
22727272.72727273,0.0,-18126977.990665562,-0.09298618436343166
23232323.232323237,0.0,-18632028.49571607,-0.0955769482182592
23737373.73737374,0.0,-19137079.00076657,-0.09816771207308671
24242424.242424242,0.0,-19642129.505817074,-0.10075847592791423
24747474.74747475,0.0,-20147180.01086758,-0.10334923978274177
25252525.25252525,0.0,-20652230.515918083,-0.1059400036375693
25757575.757575758,0.0,-21157281.02096859,-0.10853076749239683
26262626.262626264,0.0,-21662331.526019096,-0.11112153134722437
26767676.767676767,0.0,-22167382.0310696,-0.11371229520205188
27272727.272727273,0.0,-22672432.536120106,-0.11630305905687942
27777777.77777778,0.0,-23177483.041170612,-0.11889382291170696
