upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,8363400.228463839,0.1158003037718305
204081.63265306124,0.0,8159318.5958107775,0.11297457327826348
408163.2653061225,0.0,7955236.963157716,0.11014884278469646
612244.8979591837,0.0,7751155.330504655,0.10732311229112944
816326.530612245,0.0,7547073.697851594,0.10449738179756242
1020408.1632653062,0.0,7342992.065198532,0.10167165130399541
1224489.7959183673,0.0,7138910.432545472,0.09884592081042841
1428571.4285714286,0.0,6934828.799892411,0.09602019031686139
1632653.06122449,0.0,6730747.167239349,0.09319445982329437
1836734.693877551,0.0,6526665.534586288,0.09036872932972735
2040816.3265306123,0.0,6322583.901933227,0.08754299883616035
2244897.959183674,0.0,6118502.269280165,0.08471726834259333
2448979.5918367347,0.0,5914420.636627104,0.08189153784902631
2653061.224489796,0.0,5710339.003974043,0.07906580735545929
2857142.8571428573,0.0,5506257.3713209815,0.07624007686189227
3061224.4897959186,0.0,5302175.73866792,0.07341434636832526
3265306.12244898,0.0,5098094.106014859,0.07058861587475825
3469387.7551020407,0.0,4894012.473361798,0.06776288538119123
3673469.387755102,0.0,4689930.840708736,0.06493715488762421
3877551.020408164,0.0,4485849.208055675,0.062111424394057195
4081632.6530612246,0.0,4281767.575402614,0.059285693900490176
4285714.285714285,0.0,4077685.9427495534,0.05645996340692318
4489795.918367348,0.0,3873604.310096491,0.053634232913356145
4693877.551020408,0.0,3669522.6774434308,0.050808502419789146
4897959.183673469,0.0,3465441.0447903695,0.04798277192622213
5102040.816326531,0.0,3261359.412137308,0.04515704143265511
5306122.448979592,0.0,3057277.779484247,0.042331310939088096
5510204.081632653,0.0,2853196.1468311856,0.03950558044552108
5714285.714285715,0.0,2649114.5141781243,0.036679849951954065
5918367.346938776,0.0,2445032.881525063,0.033854119458387046
6122448.979591837,0.0,2240951.2488720017,0.03102838896482003
6326530.612244898,0.0,2036869.6162189404,0.028202658471253014
6530612.24489796,0.0,1832787.983565879,0.025376927977686
6734693.87755102,0.0,1628706.3509128187,0.022551197484118993
6938775.510204081,0.0,1424624.7182597574,0.019725466990551978
7142857.142857144,0.0,1220543.0856066952,0.016899736496984948
