upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,1461990.5520488275,0.05169805988492937
204081.63265306124,0.0,1257908.9193957662,0.044481443846250794
408163.2653061225,0.0,1053827.286742705,0.03726482780757221
612244.8979591837,0.0,849745.6540896439,0.030048211768893638
816326.530612245,0.0,645664.0214365826,0.022831595730215058
1020408.1632653062,0.0,441582.38878352137,0.015614979691536482
1224489.7959183673,0.0,237500.75613046018,0.008398363652857906
1428571.4285714286,0.0,33419.12347739888,0.0011817476141793252
1632653.06122449,0.0,-170662.50917566242,-0.006034868424499255
1836734.693877551,0.0,-374744.1418287235,-0.013251484463177827
2040816.3265306123,0.0,-578825.7744817848,-0.020468100501856407
2244897.959183674,0.0,-782907.4071348463,-0.027684716540534997
2448979.5918367347,0.0,-986989.0397879072,-0.03490133257921356
2653061.224489796,0.0,-1191070.6724409685,-0.04211794861789214
2857142.8571428573,0.0,-1395152.3050940298,-0.04933456465657072
3061224.4897959186,0.0,-1599233.937747091,-0.0565511806952493
3265306.12244898,0.0,-1803315.5704001524,-0.06376779673392788
3469387.7551020407,0.0,-2007397.2030532132,-0.07098441277260645
3673469.387755102,0.0,-2211478.8357062745,-0.07820102881128503
3877551.020408164,0.0,-2415560.4683593363,-0.08541764484996363
4081632.6530612246,0.0,-2619642.101012397,-0.09263426088864218
4285714.285714285,0.0,-2823723.733665458,-0.09985087692732075
4489795.918367348,0.0,-3027805.36631852,-0.10706749296599936
4693877.551020408,0.0,-3231886.9989715805,-0.1142841090046779
4897959.183673469,0.0,-3435968.631624642,-0.12150072504335649
5102040.816326531,0.0,-3640050.264277703,-0.12871734108203506
5306122.448979592,0.0,-3844131.8969307644,-0.13593395712071366
5510204.081632653,0.0,-4048213.5295838257,-0.14315057315939222
5714285.714285715,0.0,-4252295.162236887,-0.15036718919807082
5918367.346938776,0.0,-4456376.794889948,-0.1575838052367494
6122448.979591837,0.0,-4660458.42754301,-0.16480042127542796
6326530.612244898,0.0,-4864540.060196071,-0.17201703731410656
6530612.24489796,0.0,-5068621.692849132,-0.17923365335278513
6734693.87755102,0.0,-5272703.325502193,-0.18645026939146367
6938775.510204081,0.0,-5476784.958155254,-0.19366688543014227
7142857.142857144,0.0,-5680866.590808316,-0.20088350146882086
7346938.775510204,0.0,-5884948.2234613765,-0.20810011750749943
7551020.408163265,0.0,-6089029.856114438,-0.215316733546178
