upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,152004.73253724517,0.0696678654367031
204081.63265306124,0.0,-52076.90011581607,-0.023868246791199903
408163.2653061225,0.0,-256158.5327688773,-0.1174043590191029
612244.8979591837,0.0,-460240.1654219385,-0.2109404712470059
816326.530612245,0.0,-664321.7980749998,-0.3044765834749089
1020408.1632653062,0.0,-868403.430728061,-0.3980126957028119
1224489.7959183673,0.0,-1072485.0633811222,-0.49154880793071487
1428571.4285714286,0.0,-1276566.6960341835,-0.5850849201586179
1632653.06122449,0.0,-1480648.3286872448,-0.6786210323865209
1836734.693877551,0.0,-1684729.9613403059,-0.7721571446144239
2040816.3265306123,0.0,-1888811.5939933672,-0.8656932568423269
2244897.959183674,0.0,-2092893.2266464287,-0.95922936907023
2448979.5918367347,0.0,-2296974.8592994893,-1.0527654812981326
2653061.224489796,0.0,-2501056.4919525506,-1.1463015935260357
2857142.8571428573,0.0,-2705138.124605612,-1.2398377057539387
3061224.4897959186,0.0,-2909219.757258673,-1.3333738179818417
3265306.12244898,0.0,-3113301.3899117345,-1.4269099302097448
3469387.7551020407,0.0,-3317383.0225647953,-1.5204460424376476
3673469.387755102,0.0,-3521464.6552178566,-1.6139821546655506
3877551.020408164,0.0,-3725546.2878709184,-1.7075182668934539
4081632.6530612246,0.0,-3929627.9205239792,-1.8010543791213567
4285714.285714285,0.0,-4133709.55317704,-1.8945904913492595
4489795.918367348,0.0,-4337791.185830102,-1.988126603577163
4693877.551020408,0.0,-4541872.818483163,-2.0816627158050656
4897959.183673469,0.0,-4745954.451136224,-2.175198828032969
5102040.816326531,0.0,-4950036.083789285,-2.2687349402608716
5306122.448979592,0.0,-5154117.716442347,-2.362271052488775
5510204.081632653,0.0,-5358199.349095408,-2.4558071647166777
5714285.714285715,0.0,-5562280.981748469,-2.549343276944581
5918367.346938776,0.0,-5766362.6144015305,-2.6428793891724838
6122448.979591837,0.0,-5970444.247054592,-2.736415501400387
6326530.612244898,0.0,-6174525.879707653,-2.82995161362829
6530612.24489796,0.0,-6378607.512360714,-2.9234877258561927
6734693.87755102,0.0,-6582689.145013775,-3.0170238380840955
6938775.510204081,0.0,-6786770.777666836,-3.1105599503119987
7142857.142857144,0.0,-6990852.410319898,-3.204096062539902
7346938.775510204,0.0,-7194934.042972959,-3.2976321747678043
7551020.408163265,0.0,-7399015.67562602,-3.3911682869957076
7755102.040816328,0.0,-7603097.308279082,-3.484704399223611
7959183.673469388,0.0,-7807178.940932143,-3.5782405114515137
8163265.306122449,0.0,-8011260.573585204,-3.6717766236794165
8367346.9387755105,0.0,-8215342.206238265,-3.7653127359073197
8571428.57142857,0.0,-8419423.838891326,-3.858848848135222
8775510.204081632,0.0,-8623505.471544387,-3.9523849603631254
8979591.836734695,0.0,-8827587.10419745,-4.045921072591029
9183673.469387757,0.0,-9031668.736850511,-4.139457184818932
9387755.102040816,0.0,-9235750.36950357,-4.232993297046835
9591836.734693877,0.0,-9439832.002156632,-4.3265294092747375
9795918.367346939,0.0,-9643913.634809693,-4.42006552150264
10000000.0,0.0,-9847995.267462755,-4.513601633730543
0.0,204081.63265306124,-52076.90011581607,-0.023868246791199903
204081.63265306124,204081.63265306124,-256158.5327688773,-0.1174043590191029
408163.2653061225,204081.63265306124,-460240.1654219385,-0.2109404712470059
612244.8979591837,204081.63265306124,-664321.7980749998,-0.3044765834749089
816326.530612245,204081.63265306124,-868403.4307280611,-0.39801269570281195
1020408.1632653062,204081.63265306124,-1072485.0633811222,-0.49154880793071487
1224489.7959183673,204081.63265306124,-1276566.6960341835,-0.5850849201586179
1428571.4285714286,204081.63265306124,-1480648.3286872448,-0.6786210323865209
1632653.06122449,204081.63265306124,-1684729.961340306,-0.772157144614424
1836734.693877551,204081.63265306124,-1888811.5939933672,-0.8656932568423269
2040816.3265306123,204081.63265306124,-2092893.2266464282,-0.9592293690702298
2244897.959183674,204081.63265306124,-2296974.8592994898,-1.0527654812981329
2448979.5918367347,204081.63265306124,-2501056.4919525506,-1.1463015935260357
2653061.224489796,204081.63265306124,-2705138.124605612,-1.2398377057539387
2857142.8571428573,204081.63265306124,-2909219.757258673,-1.3333738179818417
3061224.4897959186,204081.63265306124,-3113301.3899117345,-1.4269099302097448
3265306.12244898,204081.63265306124,-3317383.022564796,-1.5204460424376478
3469387.7551020407,204081.63265306124,-3521464.6552178566,-1.6139821546655506
3673469.387755102,204081.63265306124,-3725546.287870918,-1.7075182668934537
3877551.020408164,204081.63265306124,-3929627.9205239797,-1.801054379121357
4081632.6530612246,204081.63265306124,-4133709.55317704,-1.8945904913492595
4285714.285714285,204081.63265306124,-4337791.185830101,-1.9881266035771625
4489795.918367348,204081.63265306124,-4541872.818483164,-2.081662715805066
4693877.551020408,204081.63265306124,-4745954.451136224,-2.175198828032969
4897959.183673469,204081.63265306124,-4950036.083789285,-2.2687349402608716
5102040.816326531,204081.63265306124,-5154117.716442347,-2.362271052488775
5306122.448979592,204081.63265306124,-5358199.349095408,-2.4558071647166777
5510204.081632653,204081.63265306124,-5562280.981748469,-2.549343276944581
