upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,1545676.7640425365,0.009664968111882681
505050.5050505051,0.0,1040626.2589920314,0.006506935889520152
1010101.0101010102,0.0,535575.7539415263,0.0033489036671576224
1515151.5151515151,0.0,30525.248891021358,0.0001908714447950934
2020202.0202020204,0.0,-474525.2561594839,-0.0029671607775674375
2525252.5252525257,0.0,-979575.7612099892,-0.0061251929999299685
3030303.0303030303,0.0,-1484626.2662604938,-0.009283225222292494
3535353.5353535353,0.0,-1989676.7713109988,-0.012441257444655025
4040404.040404041,0.0,-2494727.2763615046,-0.015599289667017558
4545454.545454546,0.0,-2999777.781412009,-0.018757321889380084
5050505.050505051,0.0,-3504828.2864625147,-0.021915354111742617
5555555.555555556,0.0,-4009878.7915130192,-0.025073386334105146
6060606.060606061,0.0,-4514929.296563524,-0.02823141855646767
6565656.565656566,0.0,-5019979.801614029,-0.0313894507788302
7070707.070707071,0.0,-5525030.306664534,-0.03454748300119273
7575757.575757576,0.0,-6030080.811715039,-0.03770551522355526
8080808.080808082,0.0,-6535131.316765545,-0.040863547445917796
8585858.585858587,0.0,-7040181.82181605,-0.044021579668280325
9090909.090909092,0.0,-7545232.326866555,-0.047179611890642854
9595959.595959596,0.0,-8050282.83191706,-0.050337644113005384
10101010.101010103,0.0,-8555333.336967567,-0.05349567633536793
10606060.606060607,0.0,-9060383.842018072,-0.05665370855773045
11111111.111111112,0.0,-9565434.347068576,-0.05981174078009298
11616161.616161618,0.0,-10070484.852119083,-0.06296977300245551
12121212.121212121,0.0,-10575535.357169585,-0.06612780522481804
12626262.626262626,0.0,-11080585.86222009,-0.06928583744718056
13131313.131313132,0.0,-11585636.367270596,-0.0724438696695431
13636363.636363637,0.0,-12090686.8723211,-0.07560190189190562
14141414.141414141,0.0,-12595737.377371605,-0.07875993411426815
14646464.646464648,0.0,-13100787.882422112,-0.08191796633663069
15151515.151515152,0.0,-13605838.387472617,-0.08507599855899321
15656565.656565657,0.0,-14110888.892523121,-0.08823403078135574
16161616.161616163,0.0,-14615939.397573628,-0.09139206300371829
16666666.666666668,0.0,-15120989.902624132,-0.09455009522608081
17171717.171717174,0.0,-15626040.407674639,-0.09770812744844334
17676767.676767677,0.0,-16131090.912725141,-0.10086615967080585
18181818.181818184,0.0,-16636141.417775648,-0.1040241918931684
18686868.68686869,0.0,-17141191.922826152,-0.10718222411553092
19191919.191919193,0.0,-17646242.427876655,-0.11034025633789343
19696969.6969697,0.0,-18151292.93292716,-0.11349828856025598
20202020.202020206,0.0,-18656343.437977668,-0.11665632078261852
