upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,223820.0790942425,0.002848311918241179
204081.63265306124,0.0,19738.446441181266,0.0002511894932460866
408163.2653061225,0.0,-184343.18621187998,-0.002345932931749006
612244.8979591837,0.0,-388424.81886494113,-0.004943055356744098
816326.530612245,0.0,-592506.4515180024,-0.007540177781739191
1020408.1632653062,0.0,-796588.0841710636,-0.010137300206734283
1224489.7959183673,0.0,-1000669.7168241248,-0.012734422631729374
1428571.4285714286,0.0,-1204751.349477186,-0.015331545056724467
1632653.06122449,0.0,-1408832.9821302474,-0.017928667481719562
1836734.693877551,0.0,-1612914.6147833085,-0.02052578990671465
2040816.3265306123,0.0,-1816996.2474363698,-0.023122912331709745
2244897.959183674,0.0,-2021077.8800894313,-0.02572003475670484
2448979.5918367347,0.0,-2225159.5127424924,-0.028317157181699932
2653061.224489796,0.0,-2429241.1453955537,-0.030914279606695023
2857142.8571428573,0.0,-2633322.778048615,-0.03351140203169012
3061224.4897959186,0.0,-2837404.4107016763,-0.03610852445668521
3265306.12244898,0.0,-3041486.0433547376,-0.0387056468816803
3469387.7551020407,0.0,-3245567.6760077984,-0.04130276930667539
3673469.387755102,0.0,-3449649.3086608597,-0.043899891731670485
3877551.020408164,0.0,-3653730.9413139215,-0.046497014156665586
4081632.6530612246,0.0,-3857812.5739669823,-0.049094136581660675
4285714.285714285,0.0,-4061894.206620043,-0.051691259006655756
4489795.918367348,0.0,-4265975.839273105,-0.054288381431650864
4693877.551020408,0.0,-4470057.471926166,-0.056885503856645946
4897959.183673469,0.0,-4674139.104579227,-0.05948262628164104
5102040.816326531,0.0,-4878220.737232288,-0.062079748706636136
5306122.448979592,0.0,-5082302.36988535,-0.06467687113163123
5510204.081632653,0.0,-5286384.002538411,-0.06727399355662632
5714285.714285715,0.0,-5490465.635191472,-0.0698711159816214
5918367.346938776,0.0,-5694547.267844534,-0.07246823840661651
6122448.979591837,0.0,-5898628.900497595,-0.0750653608316116
