upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,403739.7823859062,0.019800450567602844
204081.63265306124,0.0,199658.14973284496,0.009791755721574013
408163.2653061225,0.0,-4423.48292021628,-0.00021693912445481972
612244.8979591837,0.0,-208505.11557327746,-0.01022563397048365
816326.530612245,0.0,-412586.74822633876,-0.020234328816512485
1020408.1632653062,0.0,-616668.3808794,-0.030243023662541314
1224489.7959183673,0.0,-820750.0135324611,-0.04025171850857014
1428571.4285714286,0.0,-1024831.6461855224,-0.05026041335459898
1632653.06122449,0.0,-1228913.2788385837,-0.060269108200627815
1836734.693877551,0.0,-1432994.9114916448,-0.07027780304665664
2040816.3265306123,0.0,-1637076.544144706,-0.08028649789268547
2244897.959183674,0.0,-1841158.1767977676,-0.09029519273871432
2448979.5918367347,0.0,-2045239.8094508285,-0.10030388758474312
2653061.224489796,0.0,-2249321.44210389,-0.11031258243077197
2857142.8571428573,0.0,-2453403.074756951,-0.1203212772768008
3061224.4897959186,0.0,-2657484.7074100124,-0.13032997212282962
3265306.12244898,0.0,-2861566.3400630737,-0.14033866696885847
3469387.7551020407,0.0,-3065647.9727161345,-0.15034736181488728
3673469.387755102,0.0,-3269729.605369196,-0.16035605666091612
3877551.020408164,0.0,-3473811.2380222576,-0.17036475150694497
4081632.6530612246,0.0,-3677892.8706753184,-0.18037344635297378
4285714.285714285,0.0,-3881974.5033283792,-0.1903821411990026
4489795.918367348,0.0,-4086056.1359814415,-0.20039083604503147
4693877.551020408,0.0,-4290137.768634502,-0.21039953089106028
4897959.183673469,0.0,-4494219.401287563,-0.2204082257370891
5102040.816326531,0.0,-4698301.033940624,-0.23041692058311794
5306122.448979592,0.0,-4902382.666593686,-0.24042561542914678
5510204.081632653,0.0,-5106464.299246747,-0.2504343102751756
5714285.714285715,0.0,-5310545.931899808,-0.26044300512120444
5918367.346938776,0.0,-5514627.56455287,-0.2704516999672333
6122448.979591837,0.0,-5718709.197205931,-0.2804603948132621
6326530.612244898,0.0,-5922790.829858992,-0.29046908965929097
6530612.24489796,0.0,-6126872.462512054,-0.3004777845053198
6734693.87755102,0.0,-6330954.095165114,-0.3104864793513486
6938775.510204081,0.0,-6535035.727818175,-0.3204951741973774
7142857.142857144,0.0,-6739117.360471237,-0.3305038690434063
7346938.775510204,0.0,-6943198.993124298,-0.34051256388943507
7551020.408163265,0.0,-7147280.625777359,-0.3505212587354639
7755102.040816328,0.0,-7351362.258430421,-0.3605299535814928
7959183.673469388,0.0,-7555443.891083482,-0.3705386484275216
8163265.306122449,0.0,-7759525.523736543,-0.38054734327355044
8367346.9387755105,0.0,-7963607.156389604,-0.39055603811957923
8571428.57142857,0.0,-8167688.789042665,-0.400564732965608
8775510.204081632,0.0,-8371770.421695726,-0.41057342781163686
8979591.836734695,0.0,-8575852.05434879,-0.4205821226576658
9183673.469387757,0.0,-8779933.68700185,-0.43059081750369466
9387755.102040816,0.0,-8984015.31965491,-0.4405995123497234
9591836.734693877,0.0,-9188096.952307971,-0.45060820719575223
9795918.367346939,0.0,-9392178.584961032,-0.4606169020417811
10000000.0,0.0,-9596260.217614094,-0.47062559688780986
0.0,204081.63265306124,199658.14973284496,0.009791755721574013
204081.63265306124,204081.63265306124,-4423.48292021628,-0.00021693912445481972
408163.2653061225,204081.63265306124,-208505.11557327746,-0.01022563397048365
612244.8979591837,204081.63265306124,-412586.74822633876,-0.020234328816512485
816326.530612245,204081.63265306124,-616668.3808794001,-0.030243023662541318
1020408.1632653062,204081.63265306124,-820750.0135324611,-0.04025171850857014
1224489.7959183673,204081.63265306124,-1024831.6461855224,-0.05026041335459898
1428571.4285714286,204081.63265306124,-1228913.2788385837,-0.060269108200627815
1632653.06122449,204081.63265306124,-1432994.911491645,-0.07027780304665665
1836734.693877551,204081.63265306124,-1637076.544144706,-0.08028649789268547
2040816.3265306123,204081.63265306124,-1841158.1767977672,-0.0902951927387143
2244897.959183674,204081.63265306124,-2045239.809450829,-0.10030388758474315
2448979.5918367347,204081.63265306124,-2249321.44210389,-0.11031258243077197
2653061.224489796,204081.63265306124,-2453403.074756951,-0.1203212772768008
2857142.8571428573,204081.63265306124,-2657484.7074100124,-0.13032997212282962
3061224.4897959186,204081.63265306124,-2861566.3400630737,-0.14033866696885847
3265306.12244898,204081.63265306124,-3065647.972716135,-0.1503473618148873
3469387.7551020407,204081.63265306124,-3269729.605369196,-0.16035605666091612
3673469.387755102,204081.63265306124,-3473811.238022257,-0.17036475150694494
3877551.020408164,204081.63265306124,-3677892.870675319,-0.1803734463529738
4081632.6530612246,204081.63265306124,-3881974.5033283792,-0.1903821411990026
4285714.285714285,204081.63265306124,-4086056.1359814405,-0.20039083604503144
4489795.918367348,204081.63265306124,-4290137.768634503,-0.2103995308910603
4693877.551020408,204081.63265306124,-4494219.401287563,-0.2204082257370891
4897959.183673469,204081.63265306124,-4698301.033940624,-0.23041692058311794
5102040.816326531,204081.63265306124,-4902382.666593686,-0.24042561542914678
5306122.448979592,204081.63265306124,-5106464.299246747,-0.2504343102751756
5510204.081632653,204081.63265306124,-5310545.931899808,-0.26044300512120444
5714285.714285715,204081.63265306124,-5514627.56455287,-0.2704516999672333
5918367.346938776,204081.63265306124,-5718709.197205931,-0.2804603948132621
6122448.979591837,204081.63265306124,-5922790.829858992,-0.29046908965929097
6326530.612244898,204081.63265306124,-6126872.462512054,-0.3004777845053198
6530612.24489796,204081.63265306124,-6330954.095165115,-0.3104864793513486
6734693.87755102,204081.63265306124,-6535035.727818175,-0.3204951741973774
6938775.510204081,204081.63265306124,-6739117.3604712365,-0.33050386904340623
7142857.142857144,204081.63265306124,-6943198.993124299,-0.3405125638894351
7346938.775510204,204081.63265306124,-7147280.625777359,-0.3505212587354639
7551020.408163265,204081.63265306124,-7351362.25843042,-0.36052995358149276
7755102.040816328,204081.63265306124,-7555443.891083483,-0.37053864842752166
7959183.673469388,204081.63265306124,-7759525.523736543,-0.38054734327355044
8163265.306122449,204081.63265306124,-7963607.156389604,-0.39055603811957923
8367346.9387755105,204081.63265306124,-8167688.789042665,-0.400564732965608
8571428.57142857,204081.63265306124,-8371770.421695726,-0.41057342781163686
8775510.204081632,204081.63265306124,-8575852.054348787,-0.4205821226576657
8979591.836734695,204081.63265306124,-8779933.68700185,-0.43059081750369466
9183673.469387757,204081.63265306124,-8984015.319654912,-0.4405995123497235
9387755.102040816,204081.63265306124,-9188096.952307971,-0.45060820719575223
9591836.734693877,204081.63265306124,-9392178.584961032,-0.4606169020417811
9795918.367346939,204081.63265306124,-9596260.217614094,-0.47062559688780986
10000000.0,204081.63265306124,-9800341.850267155,-0.4806342917338387
0.0,408163.2653061225,-4423.48292021628,-0.00021693912445481972
204081.63265306124,408163.2653061225,-208505.11557327746,-0.01022563397048365
408163.2653061225,408163.2653061225,-412586.74822633876,-0.020234328816512485
612244.8979591837,408163.2653061225,-616668.3808794,-0.030243023662541314
816326.530612245,408163.2653061225,-820750.0135324611,-0.04025171850857014
1020408.1632653062,408163.2653061225,-1024831.6461855224,-0.05026041335459898
1224489.7959183673,408163.2653061225,-1228913.2788385837,-0.060269108200627815
1428571.4285714286,408163.2653061225,-1432994.911491645,-0.07027780304665665
1632653.06122449,408163.2653061225,-1637076.5441447063,-0.08028649789268548
1836734.693877551,408163.2653061225,-1841158.1767977672,-0.0902951927387143
2040816.3265306123,408163.2653061225,-2045239.8094508285,-0.10030388758474312
2244897.959183674,408163.2653061225,-2249321.4421038902,-0.110312582430772
2448979.5918367347,408163.2653061225,-2453403.074756951,-0.1203212772768008
2653061.224489796,408163.2653061225,-2657484.7074100124,-0.13032997212282962
2857142.8571428573,408163.2653061225,-2861566.3400630737,-0.14033866696885847
3061224.4897959186,408163.2653061225,-3065647.972716135,-0.1503473618148873
3265306.12244898,408163.2653061225,-3269729.6053691963,-0.16035605666091615
3469387.7551020407,408163.2653061225,-3473811.238022257,-0.17036475150694494
3673469.387755102,408163.2653061225,-3677892.8706753184,-0.18037344635297378
3877551.020408164,408163.2653061225,-3881974.50332838,-0.19038214119900265
4081632.6530612246,408163.2653061225,-4086056.1359814405,-0.20039083604503144
4285714.285714285,408163.2653061225,-4290137.768634502,-0.21039953089106028
4489795.918367348,408163.2653061225,-4494219.401287564,-0.22040822573708915
4693877.551020408,408163.2653061225,-4698301.033940624,-0.23041692058311794
4897959.183673469,408163.2653061225,-4902382.666593686,-0.24042561542914678
5102040.816326531,408163.2653061225,-5106464.299246747,-0.2504343102751756
