upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,64565.496233433514,0.042406986492377514
204081.63265306124,0.0,-139516.13641962773,-0.09163499481557724
408163.2653061225,0.0,-343597.769072689,-0.225676976123532
612244.8979591837,0.0,-547679.4017257502,-0.35971895743148674
816326.530612245,0.0,-751761.0343788115,-0.4937609387394415
1020408.1632653062,0.0,-955842.6670318727,-0.6278029200473962
1224489.7959183673,0.0,-1159924.2996849339,-0.7618449013553509
1428571.4285714286,0.0,-1364005.9323379952,-0.8958868826633057
1632653.06122449,0.0,-1568087.5649910565,-1.0299288639712605
1836734.693877551,0.0,-1772169.1976441175,-1.1639708452792152
2040816.3265306123,0.0,-1976250.8302971788,-1.29801282658717
2244897.959183674,0.0,-2180332.4629502404,-1.432054807895125
2448979.5918367347,0.0,-2384414.095603301,-1.5660967892030793
2653061.224489796,0.0,-2588495.7282563625,-1.7001387705110342
2857142.8571428573,0.0,-2792577.360909424,-1.834180751818989
3061224.4897959186,0.0,-2996658.993562485,-1.9682227331269437
3265306.12244898,0.0,-3200740.6262155464,-2.1022647144348987
3469387.7551020407,0.0,-3404822.258868607,-2.236306695742853
3673469.387755102,0.0,-3608903.8915216685,-2.3703486770508078
3877551.020408164,0.0,-3812985.5241747303,-2.504390658358763
4081632.6530612246,0.0,-4017067.156827791,-2.6384326396667173
4285714.285714285,0.0,-4221148.789480852,-2.772474620974672
4489795.918367348,0.0,-4425230.422133914,-2.906516602282627
4693877.551020408,0.0,-4629312.054786975,-3.0405585835905815
4897959.183673469,0.0,-4833393.687440036,-3.1746005648985363
5102040.816326531,0.0,-5037475.320093097,-3.308642546206491
5306122.448979592,0.0,-5241556.9527461585,-3.4426845275144458
5510204.081632653,0.0,-5445638.58539922,-3.5767265088224005
5714285.714285715,0.0,-5649720.218052281,-3.7107684901303553
5918367.346938776,0.0,-5853801.850705342,-3.84481047143831
6122448.979591837,0.0,-6057883.483358404,-3.9788524527462648
6326530.612244898,0.0,-6261965.116011465,-4.11289443405422
6530612.24489796,0.0,-6466046.748664526,-4.246936415362175
6734693.87755102,0.0,-6670128.381317587,-4.380978396670129
6938775.510204081,0.0,-6874210.013970648,-4.515020377978083
7142857.142857144,0.0,-7078291.64662371,-4.649062359286039
7346938.775510204,0.0,-7282373.279276771,-4.783104340593993
7551020.408163265,0.0,-7486454.911929832,-4.917146321901948
7755102.040816328,0.0,-7690536.544582894,-5.051188303209903
7959183.673469388,0.0,-7894618.177235954,-5.185230284517857
8163265.306122449,0.0,-8098699.809889016,-5.319272265825812
8367346.9387755105,0.0,-8302781.442542077,-5.453314247133767
8571428.57142857,0.0,-8506863.075195137,-5.587356228441721
