upgrade cost [$],obsolete asset cost [$],npv [$],lvof [$/kWh]
0.0,0.0,1306361.3304802896,0.008257783393000675
505050.5050505051,0.0,801310.8254297846,0.005065253442883944
1010101.0101010102,0.0,296260.32037927944,0.0018727234927672142
1515151.5151515151,0.0,-208790.1846712255,-0.0013198064573495148
2020202.0202020204,0.0,-713840.6897217308,-0.004512336407466246
2525252.5252525257,0.0,-1218891.194772236,-0.0077048663575829774
3030303.0303030303,0.0,-1723941.6998227406,-0.010897396307699704
3535353.5353535353,0.0,-2228992.2048732457,-0.014089926257816434
4040404.040404041,0.0,-2734042.709923751,-0.017282456207933165
4545454.545454546,0.0,-3239093.214974256,-0.020474986158049897
5050505.050505051,0.0,-3744143.7200247617,-0.023667516108166628
5555555.555555556,0.0,-4249194.225075266,-0.026860046058283356
6060606.060606061,0.0,-4754244.730125771,-0.030052576008400084
6565656.565656566,0.0,-5259295.235176276,-0.03324510595851681
7070707.070707071,0.0,-5764345.740226781,-0.03643763590863354
7575757.575757576,0.0,-6269396.2452772865,-0.039630165858750274
8080808.080808082,0.0,-6774446.750327792,-0.04282269580886701
8585858.585858587,0.0,-7279497.2553782975,-0.04601522575898374
9090909.090909092,0.0,-7784547.760428802,-0.049207755709100465
9595959.595959596,0.0,-8289598.265479307,-0.05240028565921719
10101010.101010103,0.0,-8794648.770529814,-0.055592815609333934
10606060.606060607,0.0,-9299699.275580317,-0.058785345559450655
11111111.111111112,0.0,-9804749.780630823,-0.06197787550956739
11616161.616161618,0.0,-10309800.28568133,-0.06517040545968412
12121212.121212121,0.0,-10814850.790731832,-0.06836293540980085
12626262.626262626,0.0,-11319901.295782335,-0.07155546535991755
13131313.131313132,0.0,-11824951.800832842,-0.0747479953100343
13636363.636363637,0.0,-12330002.305883348,-0.07794052526015104
14141414.141414141,0.0,-12835052.81093385,-0.08113305521026776
14646464.646464648,0.0,-13340103.315984357,-0.08432558516038449
15151515.151515152,0.0,-13845153.821034864,-0.08751811511050123
15656565.656565657,0.0,-14350204.326085366,-0.09071064506061795
16161616.161616163,0.0,-14855254.831135873,-0.09390317501073468
16666666.666666668,0.0,-15360305.33618638,-0.09709570496085142
17171717.171717174,0.0,-15865355.841236886,-0.10028823491096817
17676767.676767677,0.0,-16370406.346287388,-0.10348076486108487
18181818.181818184,0.0,-16875456.851337895,-0.10667329481120161
18686868.68686869,0.0,-17380507.3563884,-0.10986582476131836
19191919.191919193,0.0,-17885557.861438904,-0.11305835471143506
19696969.6969697,0.0,-18390608.36648941,-0.1162508846615518
20202020.202020206,0.0,-18895658.871539917,-0.11944341461166855
20707070.70707071,0.0,-19400709.37659042,-0.12263594456178525
21212121.212121215,0.0,-19905759.881640926,-0.125828474511902
21717171.71717172,0.0,-20410810.386691432,-0.12902100446201872
22222222.222222224,0.0,-20915860.891741935,-0.13221353441213546
22727272.72727273,0.0,-21420911.39679244,-0.1354060643622522
23232323.232323237,0.0,-21925961.901842948,-0.13859859431236893
23737373.73737374,0.0,-22431012.40689345,-0.14179112426248563
24242424.242424242,0.0,-22936062.911943953,-0.14498365421260237
24747474.74747475,0.0,-23441113.41699446,-0.1481761841627191
25252525.25252525,0.0,-23946163.922044963,-0.1513687141128358
25757575.757575758,0.0,-24451214.42709547,-0.15456124406295255
26262626.262626264,0.0,-24956264.932145976,-0.15775377401306928
26767676.767676767,0.0,-25461315.43719648,-0.16094630396318602
27272727.272727273,0.0,-25966365.942246985,-0.16413883391330275
27777777.77777778,0.0,-26471416.44729749,-0.16733136386341949
28282828.282828283,0.0,-26976466.952347994,-0.1705238938135362
28787878.78787879,0.0,-27481517.4573985,-0.17371642376365293
29292929.292929295,0.0,-27986567.962449007,-0.17690895371376966
29797979.7979798,0.0,-28491618.46749951,-0.1801014836638864
30303030.303030305,0.0,-28996668.972550016,-0.18329401361400313
30808080.80808081,0.0,-29501719.477600522,-0.18648654356411987
31313131.313131314,0.0,-30006769.982651025,-0.18967907351423657
31818181.81818182,0.0,-30511820.48770153,-0.1928716034643533
32323232.323232327,0.0,-31016870.992752038,-0.19606413341447004
32828282.82828283,0.0,-31521921.49780254,-0.19925666336458678
33333333.333333336,0.0,-32026972.002853047,-0.2024491933147035
33838383.83838384,0.0,-32532022.50790355,-0.20564172326482022
34343434.34343435,0.0,-33037073.01295406,-0.20883425321493698
34848484.84848485,0.0,-33542123.518004563,-0.2120267831650537
35353535.353535354,0.0,-34047174.02305506,-0.2152193131151704
35858585.858585864,0.0,-34552224.52810557,-0.21841184306528716
36363636.36363637,0.0,-35057275.033156075,-0.22160437301540387
36868686.86868687,0.0,-35562325.53820658,-0.22479690296552057
37373737.37373738,0.0,-36067376.04325709,-0.22798943291563734
37878787.87878788,0.0,-36572426.54830759,-0.23118196286575407
38383838.383838385,0.0,-37077477.05335809,-0.23437449281587078
38888888.888888896,0.0,-37582527.5584086,-0.23756702276598754
39393939.3939394,0.0,-38087578.063459106,-0.24075955271610425
39898989.8989899,0.0,-38592628.56850961,-0.24395208266622098
40404040.40404041,0.0,-39097679.07356012,-0.24714461261633774
40909090.909090914,0.0,-39602729.57861062,-0.25033714256645445
41414141.41414142,0.0,-40107780.083661124,-0.25352967251657116
41919191.91919193,0.0,-40612830.588711634,-0.2567222024666879
42424242.42424243,0.0,-41117881.09376214,-0.25991473241680463
42929292.92929293,0.0,-41622931.59881264,-0.26310726236692134
43434343.43434344,0.0,-42127982.10386315,-0.2662997923170381
43939393.939393945,0.0,-42633032.60891365,-0.2694923222671548
44444444.44444445,0.0,-43138083.113964155,-0.27268485221727157
44949494.94949496,0.0,-43643133.619014665,-0.27587738216738833
45454545.45454546,0.0,-44148184.12406517,-0.27906991211750504
45959595.95959596,0.0,-44653234.62911567,-0.28226244206762174
46464646.46464647,0.0,-45158285.13416618,-0.2854549720177385
46969696.969696976,0.0,-45663335.639216684,-0.2886475019678552
47474747.47474748,0.0,-46168386.14426719,-0.2918400319179719
47979797.97979799,0.0,-46673436.6493177,-0.2950325618680887
48484848.484848484,0.0,-47178487.15436819,-0.29822509181820533
48989898.98989899,0.0,-47683537.659418695,-0.3014176217683221
49494949.4949495,0.0,-48188588.164469205,-0.30461015171843886
50000000.0,0.0,-48693638.66951971,-0.30780268166855557
0.0,505050.5050505051,801310.8254297846,0.005065253442883944
505050.5050505051,505050.5050505051,296260.32037927944,0.0018727234927672142
1010101.0101010102,505050.5050505051,-208790.18467122572,-0.0013198064573495163
1515151.5151515151,505050.5050505051,-713840.6897217305,-0.004512336407466244
2020202.0202020204,505050.5050505051,-1218891.194772236,-0.0077048663575829774
2525252.5252525257,505050.5050505051,-1723941.699822741,-0.010897396307699706
3030303.0303030303,505050.5050505051,-2228992.2048732457,-0.014089926257816434
3535353.5353535353,505050.5050505051,-2734042.7099237507,-0.017282456207933162
4040404.040404041,505050.5050505051,-3239093.214974256,-0.020474986158049897
4545454.545454546,505050.5050505051,-3744143.7200247617,-0.023667516108166628
5050505.050505051,505050.5050505051,-4249194.225075267,-0.026860046058283363
5555555.555555556,505050.5050505051,-4754244.730125772,-0.030052576008400087
6060606.060606061,505050.5050505051,-5259295.235176276,-0.03324510595851681
6565656.565656566,505050.5050505051,-5764345.740226782,-0.036437635908633546
7070707.070707071,505050.5050505051,-6269396.2452772865,-0.039630165858750274
7575757.575757576,505050.5050505051,-6774446.750327792,-0.04282269580886701
8080808.080808082,505050.5050505051,-7279497.2553782975,-0.04601522575898374
8585858.585858587,505050.5050505051,-7784547.760428802,-0.049207755709100465
9090909.090909092,505050.5050505051,-8289598.265479307,-0.05240028565921719
9595959.595959596,505050.5050505051,-8794648.77052981,-0.055592815609333913
10101010.101010103,505050.5050505051,-9299699.275580317,-0.058785345559450655
10606060.606060607,505050.5050505051,-9804749.780630823,-0.06197787550956739
11111111.111111112,505050.5050505051,-10309800.285681326,-0.06517040545968411
11616161.616161618,505050.5050505051,-10814850.790731832,-0.06836293540980085
12121212.121212121,505050.5050505051,-11319901.295782335,-0.07155546535991755
12626262.626262626,505050.5050505051,-11824951.800832842,-0.0747479953100343
13131313.131313132,505050.5050505051,-12330002.305883348,-0.07794052526015104
13636363.636363637,505050.5050505051,-12835052.81093385,-0.08113305521026776
14141414.141414141,505050.5050505051,-13340103.315984357,-0.08432558516038449
14646464.646464648,505050.5050505051,-13845153.821034864,-0.08751811511050123
15151515.151515152,505050.5050505051,-14350204.326085366,-0.09071064506061795
15656565.656565657,505050.5050505051,-14855254.831135873,-0.09390317501073468
16161616.161616163,505050.5050505051,-15360305.33618638,-0.09709570496085142
16666666.666666668,505050.5050505051,-15865355.841236886,-0.10028823491096817
17171717.171717174,505050.5050505051,-16370406.346287392,-0.1034807648610849
17676767.676767677,505050.5050505051,-16875456.851337895,-0.10667329481120161
18181818.181818184,505050.5050505051,-17380507.3563884,-0.10986582476131836
18686868.68686869,505050.5050505051,-17885557.861438908,-0.11305835471143509
19191919.191919193,505050.5050505051,-18390608.36648941,-0.1162508846615518
19696969.6969697,505050.5050505051,-18895658.871539917,-0.11944341461166855
20202020.202020206,505050.5050505051,-19400709.376590423,-0.12263594456178528
20707070.70707071,505050.5050505051,-19905759.881640926,-0.125828474511902
21212121.212121215,505050.5050505051,-20410810.386691432,-0.12902100446201872
21717171.71717172,505050.5050505051,-20915860.89174194,-0.13221353441213549
