utility,type,period,basic_charge_limit,month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge,units,Notes
electric,customer,,,,,,,,,660,$/month,Baltimore Gas and Electric Schedule P (2021 rates)
electric,energy,,0,1,5,0,7,0,4,0.05727,$/kWh,Flat delivery charge of 0.00592 plus generation charges
electric,energy,,0,1,5,7,11,0,4,0.08667,$/kWh,
electric,energy,,0,1,5,11,17,0,4,0.07888,$/kWh,
electric,energy,,0,1,5,17,21,0,4,0.08667,$/kWh,
electric,energy,,0,1,5,21,24,0,4,0.05727,$/kWh,
electric,energy,,0,1,5,0,24,5,6,0.05727,$/kWh,
electric,energy,,0,6,9,0,7,0,4,0.05727,$/kWh,
electric,energy,,0,6,9,7,10,0,4,0.07888,$/kWh,
electric,energy,,0,6,9,10,20,0,4,0.08667,$/kWh,
electric,energy,,0,6,9,20,23,0,4,0.07888,$/kWh,
electric,energy,,0,6,9,23,24,0,4,0.05727,$/kWh,
electric,energy,,0,6,9,0,24,5,6,0.05727,$/kWh,
electric,energy,,0,10,12,0,7,0,4,0.05727,$/kWh,
electric,energy,,0,10,12,7,11,0,4,0.07888,$/kWh,
electric,energy,,0,10,12,11,17,0,4,0.08667,$/kWh,
electric,energy,,0,10,12,17,21,0,4,0.07888,$/kWh,
electric,energy,,0,10,12,21,24,0,4,0.05727,$/kWh,
electric,energy,,0,10,12,0,24,5,6,0.05727,$/kWh,
electric,demand,annual,0,1,12,0,24,0,6,7.04,$/kW,Delivery charge plus transmission charge
