utility,type,period,basic_charge_limit,month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge,units,Notes
electric,customer,,,,,,,,,373.12,$/month,Southern California Edison - TOU 8 E (2021 rates)
electric,demand,peak-summer,0,6,9,16,21,0,4,4.13,$/kW,Assumed 2 to 50 kV (typical primary voltage)
electric,demand,part-peak-winter1,0,1,5,16,21,0,4,1.03,$/kW,"Includes distribution, transmission, and generation charges"
electric,demand,part-peak-winter2,0,10,12,16,21,0,4,1.03,$/kW,
electric,demand,maximum,0,1,12,0,24,0,6,11.26,$/kW,
electric,energy,,0,6,9,16,21,0,4,0.50403,$/kWh,
electric,energy,,0,6,9,0,16,0,6,0.12291,$/kWh,
electric,energy,,0,6,9,21,24,0,6,0.12291,$/kWh,
electric,energy,,0,6,9,16,21,5,6,0.185,$/kWh,
electric,energy,,0,1,5,16,21,0,6,0.15716,$/kWh,
electric,energy,,0,1,5,0,8,0,6,0.09174,$/kWh,
electric,energy,,0,1,5,21,24,0,6,0.09174,$/kWh,
electric,energy,,0,1,5,8,16,0,6,0.08717,$/kWh,
electric,energy,,0,10,12,16,21,0,6,0.15716,$/kWh,
electric,energy,,0,10,12,0,8,0,6,0.09174,$/kWh,
electric,energy,,0,10,12,21,24,0,6,0.09174,$/kWh,
electric,energy,,0,10,12,8,16,0,6,0.08717,$/kWh,
