utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
electric,customer,,,,,,,,,,130.44,130.44,$/month,Tampa Electric Company GSDT (2021 rates)
electric,energy,,0,0,1,3,0,6,0,4,0.05413,0.05413,$/kWh,Assumed 2-50 kV (primary voltage)
electric,energy,,0,0,1,3,6,10,0,4,0.07793,0.07793,$/kWh,"Includes distribution, transmission, and generation charges"
electric,energy,,0,0,1,3,10,18,0,4,0.05413,0.05413,$/kWh,
electric,energy,,0,0,1,3,18,22,0,4,0.07793,0.07793,$/kWh,
electric,energy,,0,0,1,3,22,24,0,4,0.05413,0.05413,$/kWh,
electric,energy,,0,0,4,10,0,12,0,4,0.05413,0.05413,$/kWh,
electric,energy,,0,0,4,10,12,21,0,4,0.07793,0.07793,$/kWh,
electric,energy,,0,0,4,10,21,24,0,4,0.05413,0.05413,$/kWh,
electric,energy,,0,0,11,12,0,6,0,4,0.05413,0.05413,$/kWh,
electric,energy,,0,0,11,12,6,10,0,4,0.07793,0.07793,$/kWh,
electric,energy,,0,0,11,12,10,18,0,4,0.05413,0.05413,$/kWh,
electric,energy,,0,0,11,12,18,22,0,4,0.07793,0.07793,$/kWh,
electric,energy,,0,0,11,12,22,24,0,4,0.05413,0.05413,$/kWh,
electric,energy,,0,0,1,12,0,24,5,6,0.05413,0.05413,$/kWh,
electric,demand,winter-peak1,0,0,1,3,6,10,0,4,7.14,7.14,$/kW,
electric,demand,winter-peak1,0,0,1,3,18,22,0,4,7.14,7.14,$/kW,
electric,demand,summer-peak,0,0,4,10,12,21,0,4,7.14,7.14,$/kW,
electric,demand,winter-peak2,0,0,11,12,6,10,0,4,7.14,7.14,$/kW,
electric,demand,winter-peak2,0,0,11,12,18,22,0,4,7.14,7.14,$/kW,
electric,demand,off-peak,0,0,1,12,0,24,0,6,5.33,5.33,$/kW,
gas,customer,,,,,,,,,,420,420,$/month,
gas,energy,,0,0,1,12,0,24,0,6,0.21781,0.076919,$/therm or $/m3,
