utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
electric,demand,peak-summer,0,0,6,9,16,21,0,6,26.8,26.8,$/kW,Pacific Gas & Electric Industrial Rate B-20 (2021 rates)
electric,demand,part-peak-summer,0,0,6,9,14,16,0,6,5.32,5.32,$/kW,Assumed 2-50 kV (primary voltage)
electric,demand,part-peak-summer,0,0,6,9,21,23,0,6,5.32,5.32,$/kW,"Includes distribution, transmission, and generation charges"
electric,demand,maximum,0,0,1,12,0,24,0,6,20.7,20.7,$/kW,
electric,demand,peak-winter1,0,0,1,5,16,21,0,6,1.78,1.78,$/kW,
electric,demand,peak-winter2,0,0,10,12,16,21,0,6,1.78,1.78,$/kW,
electric,customer,,,,,,,,,,1514.6622,1514.6622,$/month,Estimated from multiplying cost of 1 meter for 1 day by 30 days
electric,energy,,0,0,6,9,0,14,0,6,0.09816,0.09816,$/kWh,
electric,energy,,0,0,6,9,14,16,0,6,0.11735,0.11735,$/kWh,
electric,energy,,0,0,6,9,16,21,0,6,0.14484,0.14484,$/kWh,
electric,energy,,0,0,6,9,21,23,0,6,0.11735,0.11735,$/kWh,
electric,energy,,0,0,6,9,23,24,0,6,0.09816,0.09816,$/kWh,
electric,energy,,0,0,1,2,0,16,0,6,0.09822,0.09822,$/kWh,
electric,energy,,0,0,1,2,21,24,0,6,0.09822,0.09822,$/kWh,
electric,energy,,0,0,1,5,16,21,0,6,0.12734,0.12734,$/kWh,
electric,energy,,0,0,3,5,0,9,0,6,0.09822,0.09822,$/kWh,
electric,energy,,0,0,3,5,9,14,0,6,0.0569,0.0569,$/kWh,
electric,energy,,0,0,3,5,14,16,0,6,0.09822,0.09822,$/kWh,
electric,energy,,0,0,3,5,21,24,0,6,0.09822,0.09822,$/kWh,
electric,energy,,0,0,10,12,0,16,0,6,0.09822,0.09822,$/kWh,
electric,energy,,0,0,10,12,21,24,0,6,0.09822,0.09822,$/kWh,
electric,energy,,0,0,10,12,16,21,0,6,0.12734,0.12734,$/kWh,
gas,customer,,,,,,,,,,148.6554,148.6554,$/month,Estimated from multiplying cost for 1 day by 30 days
gas,energy,,0,0,1,3,0,24,0,6,1.68736,0.59589,$/therm or $/m3,
gas,energy,,0,0,4,10,0,24,0,6,1.54031,0.54396,$/therm or $/m3,
gas,energy,,0,0,11,12,0,24,0,6,1.68736,0.59589,$/therm or $/m3,
gas,energy,,4000,11326.72,1,3,0,24,0,6,1.3126,0.46354,$/therm or $/m3,
gas,energy,,4000,11326.72,4,10,0,24,0,6,1.22418,0.43232,$/therm or $/m3,
gas,energy,,4000,11326.72,11,12,0,24,0,6,1.3126,0.46354,$/therm or $/m3,
