Applicant_Name,Medical_Specialty,Study_Name
Abbott,Cardiovascular,CentriMag FTW PAS
ABBOTT DIABETES CARE INC.,Clinical Chemistry,FreeStyle Libre Flash Glucose Monitoring 
Abbott Medical,Cardiovascular,The Aveir VR RWE Study
Abbott Medical,Cardiovascular,Cont f/u of the premarket HALO Cohort
Abbott Medical,Cardiovascular,HALO PAS
Abbott Medical,Cardiovascular,Registry-Based CAP Cohort and RWU Surveillances
Abbott Medical,Cardiovascular,Cont f/u of the COAPT Trival Pivotal Cohort
Abbott Medical,Cardiovascular,Registry-Based Real World use Surv of the Portico 
Abbott Medical,Cardiovascular,Cont f/u of the PORTICO IDE cohorts
Abbott Medical,Cardiovascular,5 year long term (IDE)
Abbott Medical,Cardiovascular,Post Approval Study
Abbott Medical,Cardiovascular,New EnrollMitraClip Analysis Cohort (MAC)
Abbott Medical,Cardiovascular,Comprehensive/Linked-Registry Based Surv
Abbott Medical,Cardiovascular,Amplatzer PFO Occluder New Enrollment PAS
Abbott Medical,Cardiovascular,SJM Brady MRI PAS
Abbott Medical,Neurology,F/U Axium Neurostimulator System (FANS)
Abbott Medical,Cardiovascular,Heartmate 3 Real-World Pediatric Use Surveillance
Abbott Medical,Cardiovascular,Continued Follow-up of the Amulet IDE Cohort
Abbott Medical,Cardiovascular,Amulet Real-World Use Surveillance
Abbott Medical,Cardiovascular,CMEMS RWE PAS
Abbott Medical,Cardiovascular,Continued F/U of the IDE Portico NG Study
Abbott Medical,Cardiovascular,Registry-Based Real-World Use Surveillance Study
Abbott Medical,Cardiovascular,LESS VT Continued F/u of IDE 
Abbott Medical,Cardiovascular,LESS VT NICM Post-Approval Study
Abbott Medical,Cardiovascular,TactiFlex SE PAS
Abbott Medical,Cardiovascular,UltiPace Lead RWE Study
Abbott Medical,Cardiovascular,Aveir DR Real-World Evidence Study
Abbott Medical,Cardiovascular,Registry-Based Real-World Use Surv Navitor Titan
Abbott Medical,Cardiovascular,Cont f/u of the IDE Portico NG Titan Cohort
ABBOTT VASCULAR,Cardiovascular,SPIRIT XLV PAS
ABIOMED; INC.,Cardiovascular,Impella RW Surveillance of Pts using Sodium Bicarb
Abiomed; Inc.,Cardiovascular,Impella RW Surveillance of Pts using Sodium Bicarb
ABIOMED; INC.,Cardiovascular,New Enrollment Study
AcuFocus; Inc.,Ophthalmic,Continuation Study - SAIL-101-PAS
AcuFocus; Inc.,Ophthalmic,New Enrollment Study-IC-8 Apthera IOL
Advanced Medical Solutions Limited,General & Plastic Surgery,LiquiFix Post-Approval Study
AESCULAP IMPLANT SYSTEMS; LLC,Orthopedic,Post-Approval Clinical Study
AESCULAP IMPLANT SYSTEMS; LLC,Orthopedic,Enhanced Safety Surveillance Study
Alcon Research; Ltd,Ophthalmic,COMPASS XXT Post-Approval Study
Alcon Research; Ltd,Ophthalmic,COMPASS Extension Study
Alcon Research; Ltd,Ophthalmic,CyPass Micro Stent New Enrollment PAS
Algorithm Sciences; Inc.,General Hospital,Prometra Programmable Pump System
Algorithm Sciences; Inc.,General Hospital,Extended Use Stability Study
Algorithm Sciences; Inc.,General Hospital,Leachables Study
Allergan,General & Plastic Surgery,Focus Group Study
Allergan,General & Plastic Surgery,Core Study
Allergan,General & Plastic Surgery,Continued Access Study (Natrelle 410 CAS)
Allergan,General & Plastic Surgery,Natrelle and 410 Combined Cohort
Allergan,General & Plastic Surgery,Case Control Studies
Allergan,General & Plastic Surgery,Natrelle and 410 Combined Cohort
Allergan,General & Plastic Surgery,Focus Group
Allergan,General & Plastic Surgery,Core
Allergan,General & Plastic Surgery,BIFS (Large PAS)
Allergan,General & Plastic Surgery,Re-Op Phase
Allergan,General & Plastic Surgery,Informed Decision Process
Allergan,General & Plastic Surgery,Device failure Study
Allergan,General & Plastic Surgery,Adjunct
AMO Manufacturing USA; LLC,Ophthalmic,STAR-122-MVPM Post-Approval Study
ApiFix; Ltd.,Orthopedic,MID-C System Registry PAS
AtriCure; Inc.,Cardiovascular,CONVERGE Post-Approval Study
AutoGenomics; Inc.,Toxicology,AvertD Post-Approval Study
Avertix Medical Inc,Cardiovascular,AngelMed Guardian PAS
Avive Solutions; Inc.,Cardiovascular,Avive AED Post-Approval Study
BAYER PHARMA AG,Obstetrics/Gynecology,Post Approval Study
BIOMIMETIC THERAPEUTICS;LLC,Orthopedic,Long-term PAS
Biosense Webster; Inc.,Cardiovascular,QDOT MICRO System PAS
BIOSENSE WEBSTER; INC.,Cardiovascular,Real-World Experience of Catheter Ablation of PsAF
Biosensors International USA; Inc.,Cardiovascular,LEADERS FREE II (LFII) Clinical Study
Biotronik; Inc,Cardiovascular,Bioflow-V Cont f/u PAS
Biotronik; Inc,Cardiovascular,Bioflow-VII New Enrollment PAS
BIOTRONIK; INC.,Cardiovascular,QP ExCELS Sentus QP Ext CRT w/ Quad LV 
BIOTRONIK; INC.,Cardiovascular,QP ExCELS Sentus QP Ext CRT w/Quad LV
BIOTRONIK; INC.,Cardiovascular,Pamira EP PASSION PAS
Bolton Medical Inc.,Cardiovascular,Cont F/u of the IDE Study Subjects
Bolton Medical Inc.,Cardiovascular,TREO Post Approval Study
Bolton Medical; Inc.,Cardiovascular,Cont f/u Dissection Study Subjects
Bolton Medical; Inc.,Cardiovascular,Cont f/u Transection Study Subjects
Bolton Medical; Inc.,Cardiovascular,Registry Data Collection for Dissection
Bolton Medical; Inc.,Cardiovascular,RelayPro Post-Approval Surveillance Study
