REF_DATE,GEO,DGUID,Risk management arrangements,North American Industry Classification System (NAICS),Size of enterprise,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019,Canada,,A written policy in place to manage internal cyber security risks,Hospitals [622],"Total, all enterprises",Percent,239,units,0,v1212391236,1.1.80.1,27.3,D,,,1
2021,Canada,,A written policy in place to manage internal cyber security risks,Hospitals [622],"Total, all enterprises",Percent,239,units,0,v1212391236,1.1.80.1,25.2,D,,,1
2021,Canada,,A written policy in place to manage cyber security risks associated with supply chain partners,Hospitals [622],"Total, all enterprises",Percent,239,units,0,v1428161882,1.11.80.1,0,B,,,1
2019,Canada,,A written policy in place to report cyber security incidents,Hospitals [622],"Total, all enterprises",Percent,239,units,0,v1212391237,1.2.80.1,34.7,D,,,1
2021,Canada,,A written policy in place to report cyber security incidents,Hospitals [622],"Total, all enterprises",Percent,239,units,0,v1212391237,1.2.80.1,11.1,C,,,1
2021,Canada,,Other type of written policy related to cyber security,Hospitals [622],"Total, all enterprises",Percent,239,units,0,v1428161883,1.12.80.1,12.1,C,,,1
2019,Canada,,"A Business Continuity Plan (BCP) with processes to manage cyber security threats, vulnerabilities and risks",Hospitals [622],"Total, all enterprises",Percent,239,units,0,v1212391238,1.3.80.1,20,E,,,1
2021,Canada,,"A Business Continuity Plan (BCP) with processes to manage cyber security threats, vulnerabilities and risks",Hospitals [622],"Total, all enterprises",Percent,239,units,0,v1212391238,1.3.80.1,18.8,D,,,1
2019,Canada,,Employees with responsibility for overseeing cyber security risks and threats,Hospitals [622],"Total, all enterprises",Percent,239,units,0,v1212391239,1.4.80.1,64.5,D,,,1
2021,Canada,,Employees with responsibility for overseeing cyber security risks and threats,Hospitals [622],"Total, all enterprises",Percent,239,units,0,v1212391239,1.4.80.1,55.1,D,,,1
2019,Canada,,Members of senior management with responsibility for overseeing cyber security risks and threats,Hospitals [622],"Total, all enterprises",Percent,239,units,0,v1212391240,1.5.80.1,53.6,D,,,1
2021,Canada,,Members of senior management with responsibility for overseeing cyber security risks and threats,Hospitals [622],"Total, all enterprises",Percent,239,units,0,v1212391240,1.5.80.1,32.4,D,,,1
2019,Canada,,A consultant or contractor to manage cyber security risks and threats,Hospitals [622],"Total, all enterprises",Percent,239,units,0,v1212391241,1.6.80.1,57.8,E,,,1
2021,Canada,,A consultant or contractor to manage cyber security risks and threats,Hospitals [622],"Total, all enterprises",Percent,239,units,0,v1212391241,1.6.80.1,59.7,D,,,1
